dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,PrixMoyenS2,depmoyen,depmoyenS2
35,86,23.0,86,23.0,0.26744186046511625,24.418604651162788,19.767441860465116,8.13953488372093,0.0,55.366279069767444,69.51739130434783,10.29139256925785,38.481
36,7,3.0,7,3.0,0.42857142857142855,28.57142857142857,28.57142857142857,14.285714285714285,0.0,56.642857142857146,65.23333333333333,12.834376778599884,29.947
37,66,28.0,66,28.0,0.42424242424242425,37.878787878787875,37.878787878787875,28.78787878787879,0.0,63.71176470588236,80.82666666666667,26.915865947972822,61.009
38,118,38.0,116,37.0,0.31896551724137934,24.137931034482758,20.689655172413794,6.0344827586206895,0.0,55.34576271186441,66.6108108108108,10.250523330407185,32.691
39,9,1.0,9,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,50.733333333333334,55.0,1.062416998671975,9.562
40,17,1.0,15,1.0,0.06666666666666667,6.666666666666667,6.666666666666667,0.0,0.0,51.2,65.2,1.9920318725099602,29.88
41,22,3.0,22,3.0,0.13636363636363635,4.545454545454546,4.545454545454546,0.0,0.0,51.15909090909091,57.23333333333333,1.9105396595436326,14.011
42,49,18.0,48,18.0,0.375,25.0,25.0,6.25,0.0,56.275000000000006,66.4,12.101593625498012,32.271
43,14,2.0,14,2.0,0.14285714285714285,14.285714285714285,14.285714285714285,7.142857142857142,0.0,53.90714285714286,76.15,7.384746727376205,51.693
44,113,57.0,112,57.0,0.5089285714285714,44.642857142857146,41.07142857142857,6.25,0.8928571428571428,59.65446428571429,68.77719298245614,18.833594194649976,37.006
45,26,7.0,26,7.0,0.2692307692307692,19.230769230769234,19.230769230769234,3.8461538461538463,0.0,54.0,64.31428571428572,7.569721115537842,28.116
46,6,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,50.20000000000001,,1.4154237764145422e-14,
47,8,1.0,8,1.0,0.125,0.0,0.0,0.0,0.0,50.2,50.2,0.0,0.0
48,2,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
49,58,13.0,58,13.0,0.22413793103448276,15.517241379310345,10.344827586206897,1.7241379310344827,0.0,53.07586206896552,63.03076923076923,5.728808902321748,25.559
50,9,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
51,35,25.0,35,25.0,0.7142857142857143,60.0,54.285714285714285,37.142857142857146,2.857142857142857,65.14864864864865,72.324,29.77818455906104,44.072
52,4,1.0,4,1.0,0.25,25.0,0.0,0.0,0.0,53.275000000000006,62.5,6.125498007968133,24.502
53,9,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
54,64,41.0,64,41.0,0.640625,57.8125,50.0,29.6875,0.0,64.6,72.67804878048781,28.685258964143408,44.777
55,3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,50.20000000000001,,1.4154237764145422e-14,
56,41,10.0,40,10.0,0.25,17.5,17.5,7.5,0.0,54.98048780487805,68.01818181818182,9.522884073462249,35.494
57,44,15.0,44,15.0,0.3409090909090909,29.545454545454547,29.545454545454547,13.636363636363635,0.0,57.531111111111116,72.19333333333334,14.603806994245245,43.811
58,8,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
59,122,72.0,118,69.0,0.5847457627118644,50.847457627118644,50.0,38.13559322033898,0.0,66.48583333333333,78.11857142857143,32.44189907038512,55.615
60,19,7.0,19,7.0,0.3684210526315789,31.57894736842105,31.57894736842105,15.789473684210526,0.0,58.505263157894746,72.74285714285715,16.544348920109048,44.906
