BOR;AN;nofinesset;nofinessej;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_B17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2020;060780491;060790797;0;0;0;914;0;290;4048;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780517;060000239;1;0;1;10409;0;9796;4428;0;1;;;;9330;0;137;9104;0;950;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;0;9104;0;0;0;0;0;0;0;0;0;0;;;5;1;0;0.2;4;1;;;;1;;1;0;;4.06;0.17;0.52;0;
CANCERO;2020;060780590;060000270;0;0;0;269;0;131;619;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780715;060000361;1;0;1;9741;0;8607;6946;0;1;;;;4018;0;69;7837;0;621;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;29;49;;;2402;2103;0;0;0;0;0;0;7877;0;0;0;3;;;;3;;3;;1;;5;2;;;1;;3.3;;1;0.3;5
CANCERO;2020;060780723;060004959;1;0;1;4849;0;4530;2332;0;1;;;;4254;0;7;4192;0;385;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;0;4198;0;0;0;0;0;0;0;0;0;0;1;;2;;2;;4;;;;1;;;1;1;1;4.2;;0.74;0.6;1.57
CANCERO;2020;060780756;060000403;0;0;0;709;0;383;1109;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060780947;060800174;0;0;0;43;0;10;534;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060781200;060000635;0;0;0;146;0;59;407;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060785003;060785011;1;0;0;2461;0;1085;8543;0;0;60789195;;;963;0;27;955;0;182;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;060789195;060785011;1;0;1;10332;0;8839;17155;0;1;;;;9117;0;516;8117;0;906;0;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;;16;14;;;444;3;0;0;0;0;0;0;5780;0;0;0;;0;;2;;0.9;;;;;;;;;;;;;;;
CANCERO;2020;060800166;060780608;1;0;1;10080;0;9206;5700;0;1;;;;8533;0;1;8529;0;949;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;;;1;8395;0;0;;1;0;0;8;0;;0;;;;;;;11;8;;;1;2;1;1;;2;12.69;8.5;0.5;;2.5
CANCERO;2020;070000013;070002878;1;0;1;1120;0;796;1517;0;0;260000138;;;901;0;117;763;0;101;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;4;8;;;174;1302;0;0;0;0;0;0;588;0;0;0;;3;;;;1.54;2;2;;;2;2;;1;;1;3.06;2.3;0.2;;1.66
CANCERO;2020;070000179;070780358;1;0;0;1109;0;957;1767;0;0;690783220;;;978;0;34;907;0;79;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;070000609;070005566;1;0;1;2862;12;2617;2666;27;1;;;;2639;12;36;2531;27;284;8;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;16;10;;;598;3380;0;0;0;0;0;0;6251;0;0;0;3;1;1;1;2.11;1.16;19;15;1;;5;6;3;1;;2;17.58;15.03;0.66;0.03;4.83
CANCERO;2020;070780168;070000088;0;0;0;158;0;118;199;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;070780424;070000245;0;0;0;1210;0;459;4525;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;080000425;080011174;1;0;1;5563;0;4714;5402;0;1;;;;4917;0;325;4527;0;582;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;29;1172;0;0;0;0;0;0;57;0;0;0;2;;;;2;;3;;;;2;3;1;;;1;3.86;0.91;;;1.39
CANCERO;2020;080009392;510007081;0;1;0;9734;0;9174;0;;;;;;;;;;;;;;;1;0;0;560;9174;450;0;0;435;0;0;2;2;4;1;3;;;;;;2;2;4;1;2.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;090000175;090781774;1;0;0;3337;270;2936;3328;271;1;;;;3170;270;179;2916;271;402;47;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;090000183;090781816;1;0;0;154;0;143;198;0;0;90000175;;;141;0;0;137;0;26;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;100000090;100000017;1;1;1;16972;0;15926;10886;0;1;;;;8116;0;351;7368;0;841;0;5;0;2;1;0;431;7777;89;0;0;434;0;0;1;2;6;0;3;3;1;4;0;4;2.12;2.72;8.86;0;5.73;17;27;;;425;8862;0;0;0;6;0;0;5303;0;0;0;0;1;0;11;0;4.14;7;2;0;0;4;23;19;0;1;20;19.37;10.84;0;0.26;6.07
CANCERO;2020;100000124;100009075;0;0;0;288;0;66;908;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;100010818;100010792;1;0;1;1830;0;1420;2495;0;1;;;;1354;0;18;1317;0;180;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;10;1207;0;0;0;0;0;0;82;0;0;0;;1;;;;1;4;;;;2;0;;;;0;4;;;;2
CANCERO;2020;110000023;110780061;1;1;1;18909;0;18498;3704;0;1;;;;5389;0;63;5197;0;584;0;4;0;2;0;0;843;12197;81;0;31;611;0;31;0;0;8;1;2;3;4;3;0;1;1.9;2.73;8.66;1;2.41;10;16;;;446;5714;0;0;0;0;0;0;2556;0;0;0;0;;3;;2.21;;11;8;0;0;0;2;5;1;1;6;13.66;10.64;0.5;0.2;3.69
CANCERO;2020;110000056;110780137;1;0;0;465;0;363;976;0;1;;;;359;0;1;349;0;45;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;110005394;750056335;1;0;0;0;8;0;0;12;0;310025333;;;0;8;0;0;12;0;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;110780228;110000114;1;0;1;8332;0;7447;6819;0;1;;;;6828;0;232;7207;0;668;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;6271;0;0;0;0;0;0;0;0;0;0;1;;;1;1;0.5;5;6;;;;1;1;1;1;;5;6.9;0.1;0.1;
