BOR;AN;nofinesset;nofinessej;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2020;430000117;430000018;1;0;15;0;0;1598;2523;0;0;4;4;2.47;2.47;0;0;1;1;0;0;0;0;0;1;3;12;23;0;1;2.23;16;4.7;3.4;0;0.7;5.84
MCOPED;2020;440000016;440000057;1;1;24;2;993;2065;5622;12;10;2;;8.55;7.2;1;1;0;0;3;4;5;;;1;6;11;13;1;3;7.47;12;10.06;16.12;0.24;1.15;4.8
MCOPED;2020;440000271;440000289;1;1;111;29;6825;8754;30513;48;39;28;23;32.5;21.42;1;1;;;70;60;57;0;0;50;45;41;35;1;3;103.31;15;82.37;81.38;0.34;1.21;58.5
MCOPED;2020;440000503;440000313;1;;4;0;0;368;979;3;3;1;1;2.7;2.7;;;;;;;;;;2;7;2;3;;;4.72;4;1.57;1.05;;;2.57
MCOPED;2020;450000047;450000096;1;1;20;;0;939;2077;1;1;6;6;2.7;2.7;0;0;1;1;7;3;7;1;;6;1;;1;;;7.05;;3;8.13;0.4;;6.78
MCOPED;2020;450000062;450000104;1;1;13;;0;939;1852;1;1;5;5;2.32;2.32;;;;;12;4;3;;;11;7;1;1;;;17.39;6;4.8;3.2;;;13.75
MCOPED;2020;450002613;450000088;1;1;59;6;1748;4220;10456;0;0;37;23;12.36;8.11;1;1;1;1;18;21;32;0;0;7;16;17;15;0;3;31.77;7;33.29;41.9;0;1.4;10.46
MCOPED;2020;460000110;460780216;1;0;10;0;219;489;977;2;2;2;2;2.89;2.89;0;0;1;1;1;6;5;0;0;2;1;4;1;0;0;1.22;4;8.3;5.62;0;0;3.73
MCOPED;2020;470000423;470016171;1;0;10;2;555;872;2873;1;1;12;12;6.53;6.53;1;1;;;2;7;7;;0;7;2;12;4;;2;2.7;12;11.5;8.93;;1.3;11.12
MCOPED;2020;470000431;470000324;1;0;7;0;0;544;1153;2;2;1;1;2.56;2.56;0;0;1;1;;1;1;;;1;;1;17;;1;;9;1.64;6.86;;0.3;4.39
MCOPED;2020;470000480;470001660;1;0;14;2;32;622;1696;2;2;1;1;2.54;2.54;0;;1;;3;2;1;;;7;5;2;5;3;;5.32;2;3.42;3.3;0.39;;8
MCOPED;2020;480000017;480780097;1;0;6;0;84;271;596;1;1;;;1.08;1.08;0;0;1;1;;11;;;1;7;;1;;;;;4;11.8;;;0.25;6.82
MCOPED;2020;490000049;490000031;1;1;62;12;3148;4426;13984;13;11;44;29;28.98;22.24;1;1;1;1;5;5;13;;0;26;18;28;11;;2;17.12;24;19.32;21.17;;0.38;40.48
MCOPED;2020;490000635;490000676;1;0;20;2;250;1478;4322;6;6;3;3;6.86;6.86;1;1;0;0;7;2;4;;;4;7;7;10;;;12.5;;6.25;11.34;;;3.98
MCOPED;2020;490001765;490528452;1;1;5;1;106;451;1075;6;6;3;3;1.35;1.35;1;1;0;0;3;2;3;;;4;4;2;4;;;3.61;3;1.91;5.59;;;3.66
MCOPED;2020;500000021;500000054;1;0;15;0;0;1074;2597;;;10;10;7.05;7.05;1;1;0;0;3;0;1;;0;3;12;10;8;;1;12.23;18;7.69;6.29;;1.11;18.03
MCOPED;2020;500000187;500000013;1;0;23;2;211;1543;4783;;;8;8;4.16;4.16;;;;;6;9;6;;;14;4;2;2;;1;8.24;3;10.64;6.46;;0.5;16.08
