BOR;AN;nofinesset;nofinessej;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2020;180000176;180001158;1911;25;4;;1;147;79;25;4;;1;176;83;147934;532;661;;2;6198;2551;7833;23;;;;157;2;;;;;;;;1;0.25;1;29.66;1;35.44;0;;0;;0;1
PSY2;2020;180000382;180008518;339;0;0;0;0;0;0;0;0;0;0;0;0;10627;0;0;0;0;0;0;2637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;0
PSY2;2020;180004533;580780971;13;;;;;;;;;;;;;;;;;;;;1058;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;190000026;190000059;3229;8;;;1;54;11;8;;;1;55;11;8512;64;;;;697;72;3245;;;;;;;18086;19;;;1;94;46;0;;1;3.52;0;;0;;0;;0;
PSY2;2020;190000117;190000117;1970;90;1;1;5;82;50;46;1;1;5;57;35;24739;14726;802;60;281;6413;1653;5501;48;;;;181;186;26308;2;;;;67;44;1;1;1;27.71;0;;1;107.97;0;;0;0
PSY2;2020;190011601;190000042;4009;30;11;8;;73;15;5;2;2;;48;7;9443;439;19;;;2000;177;2785;161;;;;77;11;32123;116;23;18;;92;24;1;;1;2.5;0;;0;;0;;0;0
PSY2;2020;210013157;210780706;1439;29;;;;52;0;30;;;;53;0;7420;486;;;;947;0;1037;53;;;;64;0;8281;163;;;;4;0;1;0.1;0;;1;5.95;0;;0;;0;0
PSY2;2020;210780425;210781282;110;;;;;;;;;;;;;16;;;;;;;1898;;;;;;;351;;;;;;;0;;0;;1;4.9;0;;0;;0;0
PSY2;2020;210987558;210780581;3859;8;;;;82;28;9;;;;88;28;10258;1244;;;;3963;891;;;;;;;;;;;;;;;1;1;1;0.3;1;33.51;0;;0;;0;0
PSY2;2020;210987632;210780607;10775;27;8;0;34;380;275;29;9;0;46;429;307;63332;1469;1317;0;344;10177;6482;10762;2;0;0;0;39;12;129583;140;10;0;0;830;331;1;1;1;31.54;1;10.03;0;;1;;0;
