BOR;AN;nofinesset;nofinessej;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;CONS_MED_INT_HORSPSY;CONS_MED_INT_PSY;CONS_IDE_INT;CONS_TOT_INT;CAS_RSP_INT;FILACT_INT;dt_NOUV_INT;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;CONS_MED_EXT_HORSPSY;CONS_MED_EXT_PSY;CONS_IDE_EXT;CONS_TOT_EXT;CAS_RSP_EXT;FILACT_EXT;dt_NOUV_EXT;CONS_PSY18;ACT_INF18;CONS_MED18;CONS_MED18_HORSPSY;CONS_MED18_PSY;CONS_IDE18;CONS_TOT18;CAS_RSP18;FILACT18;dt_NOUV18;SEJ;HOSP;CAS_RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_IDE;EFFPL_IDEDOU;EFFPL_PSY;EFFPL_PNMAUT;EFFPA_PM;EFFPA_PMDOU;EFFPA_IDE;EFFPA_IDEDOU;EFFPA_PSY;EFFPA_PNMAUT;EFFPA1_PM;EFFPA1_PMDOU;EFFPA1_IDE;EFFPA1_IDEDOU;EFFPA1_PSY;EFFPA1_PNMAUT;EFFPA2_PM;EFFPA2_PMDOU;EFFPA2_IDE;EFFPA2_IDEDOU;EFFPA2_PSY;EFFPA2_PNMAUT;EFFPA3_PM;EFFPA3_PMDOU;EFFPA3_IDE;EFFPA3_IDEDOU;EFFPA3_PSY;EFFPA3_PNMAUT;ETP_PM;ETP_PMDOU;ETP_IDE;ETP_IDEDOU;ETP_PSY;ETP_PNMAUT
DOULEUR;2020;310000310;310780671;Consultation;;;0;;;;;;;;326;1388;1823;1823;;;2149;;574;164;;;0;;;;;;;;0;0;;;;1;1;;;3;;;;2;2;;;;;;;3;;;;2;2;;;;;;;1;;1;1;0.89;1
DOULEUR;2020;310016977;310781406;Centre;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2020;310026927;310026794;Centre;106;0;24;24;;;130;90;8;15;16;525;1488;1488;;962;2466;32;898;487;;;0;;;;;;;;517;295;0;1;0;;;;;1;1;2;2;1;1;;;;;;;;;;;;;1;1;2;2;1;1;1.75;0.75;1.87;1.87;0.7;1
DOULEUR;2020;310780259;310000096;Consultation;426;;509;509;;468;1403;;268;248;920;;2085;1932;153;952;3957;180;986;402;;;5;5;;;5;;3;3;0;0;180;2;2;1;1;;1;2;1;;;1;1;1;;;;;;1;1;;;;;;;;;1;1;1.58;1.31;0.5;0.5;0.5;0.4
DOULEUR;2020;310780283;310000112;Consultation;30;177;0;;;;30;;;;313;202;1839;1839;;;2152;;;544;;;0;;;;;;;;844;301;;1;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;1;;;1;;;0.54;0.1;
DOULEUR;2020;310781067;310788898;Consultation;;;127;127;;92;219;50;96;73;;;607;607;;650;1257;0;206;118;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0.7;0.7;1.85;0.8;0;0
DOULEUR;2020;310782347;310789136;Consultation;80;193;485;469;16;193;758;;127;12;130;504;605;581;24;504;1239;504;398;259;;;0;;;;;;;;0;0;457;1;1;3;3;;2;2;2;;;1;2;;;;;;;;;;;;1;2;2;;;1;1;1;1;1;1;0.5;1.1
DOULEUR;2020;310783048;310781406;Centre;0;0;6;5;1;0;6;;;;2;15;2736;2200;536;0;2738;;;;;;13;9;4;0;13;;;;0;0;;3;3;1;1;;2;3;3;1;0;3;;1;1;0;0;1;;2;2;0;0;;;0;;1;0;2;;2;2;1.5;1;1.2;2
DOULEUR;2020;320000086;320780117;Consultation;84;37;82;82;0;37;203;76;78;71;272;212;356;356;0;212;840;340;169;40;4;0;0;0;0;0;4;2;4;0;0;0;75;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0.5;0.5;0.5;0.5;0.5;0.5
DOULEUR;2020;330000332;330780545;Consultation;21;;21;21;;;42;21;16;16;;;74;74;;;74;;48;31;;;0;;;;;;;;0;0;;;;;;;;1;1;;;1;1;1;;;;1;1;;1;;;;;;;;;;;0.08;0.08;;;0.05;0.02
