BOR;AN;nofinesset;nofinessej;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2020;110780228;110000114;SURVADU;11;4015;979;;;3416;;;;5;;5;1;;0.3;5;1;4.5;3;2;3.54;;;;;;
REA;2020;110780483;110000155;SURVADU;8;2920;628;;;3474;;;;2;;2;;;;4;5;6.99;4;2;5.33;;;;2;1;2.33
REA;2020;120000039;120780044;REAADU;9;3285;570;585;60;2731;16;41;156;5;0;4.94;0;2;1.05;24;4;21.43;13;1;14.44;0;0;0;1;1;1.08
REA;2020;120000039;120780044;SITOT;16;5840;1180;;;4448;;;;;;;;;;;;;;;;;;;;;
REA;2020;120000039;120780044;SIUNV;8;2920;539;;;2018;;;;6;2;5.27;0;4;0.94;1;7;6.96;6;2;7.6;0;0;0;0;1;0.09
REA;2020;120000039;120780044;SURVADU;3;1095;185;;;439;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2020;120000039;120780044;USIC;8;2920;641;;;2430;;;;0;11;6;0;1;0.58;10;7;13.24;8;1;8.36;0;0;0;0;2;0.81
REA;2020;120000054;120780069;SURVADU;7;2553;307;;;2044;;;;1;0;1;0;1;0.5;11;1;10.99;2;3;3.39;0;0;0;0;1;0.05
REA;2020;120000070;120780085;SURVADU;0;240;34;;;200;;;;;5;0.35;;1;0.1;1;1;1.5;1;1;1.5;;;;;;
REA;2020;120004569;120004528;SURVADU;5;1830;326;;;1429;;;;;3;1.2;1;;0.5;7;;6.25;7;1;7.39;;;;;;
REA;2020;120004668;120004619;SURVADU;4;1460;186;;;1191;;;;;1;0.45;0;1;0.14;;3;1.27;3;3;5.47;;;;;3;0.7
REA;2020;130000409;130041916;AUTSI;2;464;96;;;806;;;;0;3;0.25;;;;3;;2.66;3;;3;;;;;1;0.12
REA;2020;130000409;130041916;REAADU;20;7763;639;656;36;5655;9;39;108;2;8;6.28;;1;0.4;40;8;37.74;22;3;21.09;;1;0.9;1;2;1.58
REA;2020;130000409;130041916;SITOT;22;7692;2450;;;6703;;;;;;;;;;;;;;;;;;;;;
REA;2020;130000409;130041916;SIUNV;4;1464;649;;;1130;;;;0;3;0.32;;;;4;4;4.67;1;3;3.18;;;;;;
REA;2020;130000409;130041916;SURVADU;0;450;142;;;428;;;;0;8;2.45;1;;1;7;4;10.28;10;1;10.69;;;;;1;0.5
REA;2020;130000409;130041916;SURVENF;4;1464;461;;;901;;;;0;5;0.72;2;2;2.19;3;1;3.67;5;1;4.39;;;;;4;1.12
REA;2020;130000409;130041916;USIC;16;5764;1705;;;4767;;;;0;10;1.5;;2;0.99;19;8;20.31;9;7;12.36;;;;2;3;2.37
REA;2020;130000565;130781446;REAADU;8;2920;327;333;5;2561;9;43;97;5;4;3.21;;2;0.73;20;8;23.31;18;5;15.06;;;;;;
REA;2020;130000565;130781446;SURVADU;4;1460;137;;;838;;;;4;2;2.14;;1;0.2;7;;6.46;1;2;3.42;;;;;;
REA;2020;130001225;130782634;REAADU;8;2920;297;300;7;3776;5;44;84;5;;5;;;;18;13;25.95;11;3;14.42;;1;0.89;4;2;5.6
REA;2020;130001225;130782634;SURVADU;4;1460;212;;;839;;;;;;;;;;;;;;;;;;;;;
REA;2020;130001647;130784127;AUTSI;60;21960;1478;;;21781;;;;16;7;18.06;8;;8.25;61;10;63.67;23;;21.83;;;;9;1;9.83
REA;2020;130001647;130784127;REAADU;10;3660;427;472;27;3174;15;40;30;13;4;15.84;1;;0.96;25;3;27.14;14;;12;2;;2;4;;3.88
REA;2020;130001647;130784127;SITOT;60;21960;1478;;;21781;;;;;;;;;;;;;;;;;;;;;
REA;2020;130001647;130784127;SURVADU;10;3660;714;;;3351;;;;9;2;10.56;1;;0.96;12;1;13.37;13;;12;2;;2;4;;3.88
REA;2020;130002215;130785512;REAADU;2;122;12;12;1;85;0;38;6;;;0.2;1;;0.05;1;;0.92;;1;0.4;;;;1;;0.05
REA;2020;130002215;130785512;SURVADU;6;2068;296;;;1566;;;;6;;1.8;1;;0.45;6;;6;6;;5.6;;;;1;;0.45
REA;2020;130002827;130789274;REAADU;6;2196;298;307;12;2366;7;43;55;0;4;2.53;1;2;1.08;22;2;18.81;13;0;12.37;0;0;0;0;5;0.7
REA;2020;130002827;130789274;SITOT;6;2196;656;;;1653;;;;;;;;;;;;;;;;;;;;;
REA;2020;130002827;130789274;SURVADU;3;1098;18;;;54;;;;0;1;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2020;130002827;130789274;USIC;6;2196;656;;;1653;;;;0;3;0.75;0;3;0.55;3;12;6.12;3;4;4.15;0;0;0;0;1;0.03
REA;2020;130002835;130789316;REAADU;8;2928;326;340;24;3457;8;42;81;;5;3.5;;1;0.66;;31;17.12;;19;12.2;;5;0.27;;7;4.02
REA;2020;130002835;130789316;SITOT;6;2196;482;;;1378;;;;;;;;;;;;;;;;;;;;;
REA;2020;130002835;130789316;SURVADU;4;1460;130;;;179;;;;;5;1.74;;1;0.33;;31;8.56;;19;6.1;;5;0.13;;7;2
REA;2020;130002835;130789316;USIC;6;2196;482;;;1378;;;;;8;5.19;;1;0.25;;22;6.15;;12;6.15;;;;;8;1.8
