BOR;AN;nofinesset;nofinessej;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2019;590000618;590782215;1;22;1;1;0;;1;1;;1;;1;0;0;0;0;1420;281;6936;24;12;58;124;758;25;188;0;0;0
NEUROCHIR;2019;590796975;590780193;1;125;1;1;1;1;1;1;4997;0;;1;1;1;1;1;5015;139;29018;802;148;2722;325;4989;37;568;773;117;3224
NEUROCHIR;2019;630000404;630780989;1;54;1;1;1;0;1;1;5008;0;;1;1;1;1;1;2525;53;15652;38;0;142;216;2501;103;1206;320;27;1936
NEUROCHIR;2019;640000162;640780417;1;21;0;1;0;;0;0;;0;;1;1;1;0;0;1476;69;7471;19;1;56;49;495;113;253;0;0;0
NEUROCHIR;2019;640780946;640000469;1;32;0;1;0;;1;0;;0;;1;1;1;0;0;301;10;2325;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;660000084;660780180;1;23;1;1;0;;1;1;;1;;1;0;0;0;0;916;49;7351;8;0;42;76;497;128;432;0;0;0
NEUROCHIR;2019;660780669;660000324;1;4;0;0;0;;0;0;;0;;0;0;0;0;0;134;0;634;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;670783273;670780055;1;50;0;1;0;;1;0;;0;;1;1;0;1;1;1986;61;11916;17;0;135;137;1135;51;557;324;33;1571
NEUROCHIR;2019;680000684;680000973;1;45;0;0;1;1;1;1;1100;1;70;1;1;0;0;1;2619;84;14767;11;0;74;164;1716;12;25;151;22;1049
NEUROCHIR;2019;690007539;690781810;1;10;0;0;0;;0;0;;0;;0;0;0;1;0;0;0;0;769;25;4455;106;437;208;343;0;0;0
NEUROCHIR;2019;690041124;690000724;1;15;0;0;0;;1;0;;0;;1;0;0;0;1;553;11;2416;0;0;0;25;91;152;239;0;0;0
NEUROCHIR;2019;690780648;690036900;0;;0;0;0;;0;0;;0;;0;0;0;0;1;618;12;1460;0;0;0;1;1;7;11;0;0;0
NEUROCHIR;2019;690784178;690781810;1;114;1;1;1;5;1;;;0;;1;1;1;1;1;5503;1088;30655;90;75;120;300;2516;843;2279;772;44;3237
NEUROCHIR;2019;740000237;740781133;1;14;0;0;0;;1;1;987;0;;1;0;0;0;0;917;15;4441;10;0;34;90;286;117;276;0;0;0
NEUROCHIR;2019;750000499;750062036;1;41;1;1;1;7;1;1;;0;;1;1;1;0;1;1336;23;10637;12;0;78;122;1360;361;1176;452;117;1969
NEUROCHIR;2019;750000549;750150229;1;32;1;1;1;12;1;0;;0;;1;1;1;1;1;525;81;2034;2;0;5;1;3;2;5;802;70;4112
NEUROCHIR;2019;750100042;750712184;1;42;0;0;0;;1;0;;0;;1;1;;0;1;1844;182;8806;7;0;38;212;1907;88;879;499;27;2964
NEUROCHIR;2019;750100125;750712184;1;90;;;;;;;;0;;;;1;0;;4906;593;24927;35;2;188;490;7173;1120;1227;505;84;3866
NEUROCHIR;2019;750100208;750712184;1;16;1;1;0;;1;1;;0;;0;0;0;1;1;23;0;102;1459;148;4801;566;1489;607;2070;0;0;0
NEUROCHIR;2019;760000158;760780239;1;58;1;1;1;3;1;1;1185;0;;1;1;0;1;1;2861;115;18386;41;1;184;337;3114;710;1222;375;60;1457
NEUROCHIR;2019;800006124;800000044;1;39;1;1;1;1;1;1;1330;0;0;1;1;0;1;1;2228;89;11151;126;13;428;225;1635;153;369;270;56;1049
NEUROCHIR;2019;830100574;750821092;1;20;1;1;1;4;1;1;1108;0;;1;0;0;0;1;923;11;6870;7;0;57;70;410;128;530;202;55;558
NEUROCHIR;2019;860000223;860014208;1;44;1;0;0;;1;1;;1;;1;1;0;1;1;1283;8;9708;13;0;67;218;2480;191;429;391;35;2200
NEUROCHIR;2019;870000064;870000015;1;43;0;1;1;7;1;1;;1;;1;1;0;0;1;1713;22;9702;11;0;32;50;453;356;2388;313;6;1456
NEUROCHIR;2019;920000650;920150059;1;40;0;0;1;7;1;0;;0;;1;1;0;0;1;1398;57;5653;8;0;26;38;408;664;3213;364;46;1638
NEUROCHIR;2019;920100039;750712184;1;22;1;1;1;;1;1;59;1;;1;1;0;0;0;1448;647;5854;10;2;42;129;1070;142;199;0;0;0
NEUROCHIR;2019;920120011;750821092;1;15;0;0;0;;1;1;;0;;1;1;1;0;0;415;8;2893;8;0;33;70;305;1;332;0;0;0
NEUROCHIR;2019;930300025;930000393;1;9;0;1;0;;0;1;11;1;20;1;1;1;0;0;306;10;1441;2;0;6;19;46;44;82;0;0;0
NEUROCHIR;2019;940100027;750712184;1;30;1;1;1;10;1;1;;1;;1;1;0;0;1;1837;617;9167;6;2;34;347;1370;143;1409;351;66;1468
NEUROCHIR;2019;940100043;750712184;1;34;1;1;1;4;1;1;300;0;0;1;1;1;0;1;2071;499;11006;34;4;186;189;1456;561;1194;590;42;2257
NEUROCHIR;2019;970100442;970100228;1;11;0;1;0;;1;1;;0;;1;0;0;1;0;614;16;3610;4;0;28;54;405;44;187;0;0;0
NEUROCHIR;2019;970211215;970211207;1;9;0;0;0;;0;0;;0;;1;0;0;1;0;371;5;3140;8;0;79;29;259;19;30;55;2;310
NEUROCHIR;2019;970400057;970408589;1;18;1;;1;;1;1;1046;;;1;;;1;1;944;30;6010;4;0;25;243;1634;30;95;183;7;1226
NEUROCHIR;2018;060780947;060800174;0;4;0;0;0;;1;1;25;0;;0;0;0;1;0;0;0;0;443;14;1124;17;84;54;197;6;1;5
NEUROCHIR;2018;060785003;060785011;1;28;0;1;1;14;1;1;731;0;;1;1;1;1;1;2482;49;11804;10;0;35;121;957;633;1977;306;29;2129
NEUROCHIR;2018;080010473;080010242;0;3;0;0;0;;0;0;;0;;0;0;0;0;0;154;2;702;0;0;0;0;0;67;96;0;0;0
NEUROCHIR;2018;130780521;130786049;1;25;0;1;0;;1;1;250;1;0;1;0;0;0;0;1117;19;7806;14;0;180;135;810;254;619;0;0;0
NEUROCHIR;2018;130783293;130786049;1;61;1;1;1;;1;1;;0;;1;1;1;1;1;4078;33;24813;31;0;200;155;1401;716;1929;493;31;2996
NEUROCHIR;2018;130784051;130037823;1;111;0;1;1;4;1;1;1;0;;1;1;1;0;1;4335;11;25531;15;0;72;247;911;117;620;171;0;732
NEUROCHIR;2018;140000209;140000100;1;42;0;1;0;0;1;1;2950;0;0;1;1;0;1;1;2005;37;14370;13;0;41;187;2413;467;1702;332;42;2243
NEUROCHIR;2018;210987558;210780581;1;30;0;1;1;6;1;1;2500;0;;1;0;0;0;1;1840;36;7250;9;1;25;161;918;108;688;419;40;2093
NEUROCHIR;2018;250006954;250000015;1;33;0;1;0;;1;1;;1;;1;0;1;0;1;1712;18;9091;21;2;188;81;800;205;1127;163;5;932
NEUROCHIR;2018;260020078;420784878;1;10;0;0;0;;0;0;;0;;0;0;0;0;;441;13;2815;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2018;290004324;290000017;1;42;0;1;1;0;1;1;4745;0;;1;1;1;1;1;1657;51;11641;20;0;119;129;1197;35;61;270;3;1572
NEUROCHIR;2018;2B0000012;2B0000020;1;20;0;0;0;;0;0;;0;;1;0;0;0;0;914;46;5609;5;0;14;30;355;67;185;0;0;0
NEUROCHIR;2018;300780152;300017985;1;29;0;0;0;;1;0;;0;;1;0;0;0;0;1983;7;8019;4;0;9;87;256;270;351;0;0;0
NEUROCHIR;2018;300782117;300780038;1;10;0;0;0;;1;1;;1;;1;0;0;0;0;468;4;2716;1;0;5;27;339;100;218;0;0;0
NEUROCHIR;2018;310780283;310000112;1;34;0;0;0;;1;0;;0;;1;0;0;0;0;343;0;4049;0;0;0;9;262;23;153;0;0;0
NEUROCHIR;2018;310781000;310788880;1;35;;;1;0;1;0;;0;;1;1;1;0;1;3228;16;12327;3;0;13;39;373;191;628;95;8;338
NEUROCHIR;2018;310783048;310781406;1;78;1;1;1;;1;1;3239;0;;1;1;1;1;1;2983;30;24421;49;3;293;332;4241;800;2381;679;54;3456
NEUROCHIR;2018;330781360;330781196;1;72;1;1;0;;;;;;;1;1;0;1;1;2550;47;18605;219;4;864;604;6375;1331;1657;802;332;1794
NEUROCHIR;2018;340015502;340000512;1;30;1;0;1;;1;0;;0;;1;0;1;0;1;1585;7;7184;3;0;10;85;241;546;746;0;0;0
NEUROCHIR;2018;340782085;340780477;1;53;0;1;1;8;1;1;;1;;1;1;1;1;1;2366;61;12609;327;9;1496;84;1185;736;1600;905;268;2643
NEUROCHIR;2018;350000741;350005179;1;48;0;1;;;;1;;1;;1;1;0;0;1;2751;44;15044;26;1;141;115;1179;486;1601;430;83;1465
