BOR;AN;nofinesset;nofinessej;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2018;040780405;040000168;41;11373;13;;;;;3;;;4;;;;;;6;;2;;2;;1;;
USLD;2018;050000132;050007145;25;9052;10;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;050000231;050000116;30;10733;12;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;050000256;050000124;30;9602;18;;;;1;;4;;9;2;;;;;1;;;;3;;1;;
USLD;2018;050000348;050002948;50;17911;27;;0;0;0;0;1;0;7;0;0;0;0;0;12;70;0;0;0;0;2;0;0
USLD;2018;060000510;060780954;20;6980;18;;0;;4;;1;;5;1;0;;0;;7;0;0;0;1;0;0;0;0
USLD;2018;060000551;060781010;41;14474;33;;;0;;18;;0;;3;;0;;0;12;0;0;0;0;0;5;2;0
USLD;2018;060019213;060005188;34;11085;57;;;2;;15;;0;;13;;0;;0;27;;;;2;;6;11;0
USLD;2018;060788957;060785011;61;20087;24;;;;;;;;9;1;;;;;1;61;;8;2;;2;;
USLD;2018;060790177;060785011;40;14412;8;;;;;;;;8;;;;;;;;;;;;4;;
USLD;2018;060790631;060791761;30;10097;14;;;;6;;;;8;;;;;;;;;;;;1;1;
USLD;2018;060790680;060780897;30;10635;19;;;;3;;;;12;;;;;;4;1;0;0;9;0;1;2;2
USLD;2018;060791811;060010808;75;27102;26;;;1;7;1;;;10;2;;;;;4;;;;;;1;;
USLD;2018;060794021;060780988;54;18960;29;;1;;3;;2;;9;;;;;;14;29;14;;;;;1;
USLD;2018;070000047;070780127;75;25193;44;;;;2;14;;;19;4;;1;;;6;0;4;;1;0;8;8;2
USLD;2018;070784517;070002878;60;21579;18;;;;2;;;;15;;;;;;1;;;;;;2;1;
USLD;2018;080000110;080000037;43;14977;27;;1;;1;;7;1;7;;;;;;10;11;;;;;8;2;
USLD;2018;080000276;080001969;20;5681;34;;;;12;;;;13;;;;9;;;;;;2;;0;0;0
USLD;2018;080005960;080000615;65;22135;48;;;;9;4;;;9;8;;1;;;17;;;;;;;;
USLD;2018;090000183;090781816;20;884;18;;;;;;;;;;;;;;18;;;;;5;;;
USLD;2018;090003831;090782251;0;2369;5;;;;;;;1;;;;;;;4;;;;;;14;4;
USLD;2018;100000116;100000041;30;10586;20;;;;1;1;;;10;;;;;;8;;;;;;2;;
USLD;2018;100000140;100000058;30;10819;24;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;100000801;100006279;40;14600;40;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;100006493;100000017;70;22470;49;;;;28;;;;17;;;;;;4;;;;;;1;3;1
USLD;2018;110000049;110780087;30;10755;20;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;110000247;110780772;30;10683;28;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;110006137;110780061;30;10779;14;;;;3;;;;;3;;;;;8;;;;6;;4;;
USLD;2018;110781283;110780137;90;32213;50;;10;;;2;;;10;5;;;10;;13;0;0;0;0;0;4;2;0
USLD;2018;110786746;110786324;30;10754;9;;;;;;;;7;;;;;;2;;;13;;;;;
USLD;2018;120000070;120780085;30;10956;28;;;;1;1;;;2;;;;;;;;;;;;1;;
USLD;2018;120000088;120780093;30;10553;23;;0;3;4;;;;11;;0;1;0;;4;;;;;;;2;1
USLD;2018;120000153;120780291;40;14600;14;;;;;;;;5;3;;;;6;;0;0;0;0;0;9;;
USLD;2018;120004668;120004619;40;14102;28;;;;1;;1;;20;2;;;;;2;;;;;;3;1;
USLD;2018;120782263;120780069;80;26107;121;;;;24;2;51;;2;1;;;;;41;;;;;;4;;12
USLD;2018;120783097;120004528;50;17921;27;;;;;;;;26;1;;;;;1;50;;;;;;;
USLD;2018;120786959;120780044;30;9595;47;;11;;;;;;19;4;;1;;;12;;;;;;5;6;
USLD;2018;130000516;130781339;56;20345;34;;;;;3;;;24;3;;;;;2;;;;2;;2;1;
USLD;2018;130000565;130781446;30;10766;12;;0;0;2;0;1;0;5;0;0;0;0;0;4;0;0;1;6;0;2;0;0
USLD;2018;130001225;130782634;33;11872;14;;;;;;;;10;2;;;;;2;0;0;13;3;0;0;0;0
USLD;2018;130001258;130028228;30;9785;27;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;130032758;130001514;80;28487;51;;;;;6;;2;;20;;;;;14;;;;1;;10;7;
USLD;2018;130045263;130007487;14;4688;88;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;130782097;130000938;19;6786;6;;;;;;;;;6;;;;;;;;;;;;;
USLD;2018;130790157;130789316;30;9307;23;;0;0;0;0;0;0;5;0;0;0;0;0;18;;;;;;;;
USLD;2018;130798358;130041916;70;24535;44;;;;11;3;;;19;3;;;;;8;;;;;;;4;1
USLD;2018;130808843;920030152;30;286;5;;;;;;;;1;;;;;;4;;;;;;;;
USLD;2018;130809015;130001928;150;52486;67;;;;;;;;38;;;;;;29;;;;;;2;;
USLD;2018;140000027;140000035;40;13189;29;;0;;7;;3;;5;2;0;;0;;1;;;;;;7;1;
USLD;2018;140000241;140026279;30;10469;21;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;140000373;140000159;26;9097;29;;1;0;0;8;0;;2;1;0;0;1;0;16;;;;;;2;1;
USLD;2018;140012196;140000100;100;33202;87;;;;38;;12;;;;;;;;37;;1;;19;;;;
USLD;2018;140013830;140000118;60;21765;43;;;;2;3;4;;17;;;;;;17;;;;;;2;;
USLD;2018;140017401;140000092;50;17832;34;;;;12;5;;;5;2;;;;;10;;;;13;;3;;
USLD;2018;150000032;150780088;37;11269;27;;;;5;1;;;;12;;;;;9;0;0;0;0;0;1;3;0
USLD;2018;150000040;150780096;46;16598;19;;;;2;;3;;9;;5;;;;;;;5;3;;1;;
USLD;2018;150000164;150780468;27;7691;17;;;;;;;;1;;;;;;16;;;;;;;;
USLD;2018;150000180;150780500;30;9967;38;;;;12;;;;18;;;;;;;;;;;;4;3;
USLD;2018;150002921;150780468;12;3596;33;;;;;;;;;;;;;;33;;;;;;6;;
USLD;2018;160000188;160000121;53;18433;34;;0;;;9;;;19;;;;5;;34;;;;;;3;;
USLD;2018;160000253;160000451;30;10507;38;;;;5;;17;;6;;;;;;10;0;0;0;0;0;6;0;20
USLD;2018;160000261;160014411;37;11387;25;;;;;;4;;19;1;;;;;1;;;;;;3;;
USLD;2018;160000303;160006037;80;28723;31;;;;4;1;2;;12;;;1;;;11;;;;;;4;;
USLD;2018;160000311;160000485;30;10659;12;;;;;;;;9;2;;;;;1;;10;;4;;;;
USLD;2018;160000360;160000519;65;22534;50;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;170000152;170780225;50;16742;19;;;;1;2;3;;10;;;;;;3;;;;;;;;
USLD;2018;170784110;170024194;92;33003;47;;;;15;;1;;46;;6;;;;23;;;;;;6;;
USLD;2018;170792220;170780175;45;15541;31;;0;;28;4;6;;4;2;0;0;0;0;38;;;;;;;;
USLD;2018;170802789;170780191;50;18090;21;;;;1;;;;8;;;;12;;;;;;;;5;;
USLD;2018;180000176;180001158;40;14368;17;;;;;5;;;1;;;;4;;;;;28;3;;2;1;
USLD;2018;180000200;180000051;46;16549;38;;8;;27;;;;;;;;;;3;;;;;;;;
USLD;2018;180000333;180000093;30;10506;29;;;;;;;;14;;;;;;;;;;;;2;;
USLD;2018;180003287;180000028;60;21361;40;;;;1;;;;25;;;;;;14;0;0;2;15;0;2;0;0
USLD;2018;180003386;180000069;41;13798;24;;;;11;;;;13;;;;;;;;;;2;;1;;
USLD;2018;180007825;180001158;60;21562;15;;;;;;;;;1;6;;;;8;;;28;1;;0;0;0
USLD;2018;190000018;190000042;22;7853;22;;;;;;20;;9;;;;;;3;32;7;;;1;6;6;
USLD;2018;190000034;190000067;30;10125;28;;;;6;;;;8;2;;;;;11;;;5;4;;6;2;
USLD;2018;190000091;190000075;30;10804;15;;;;;;;;8;;;;;;7;;;;;;;;
USLD;2018;190002493;190000059;53;19270;47;;;;15;;;;18;;;;;;;;;;;;;;
USLD;2018;190005140;190002485;30;10835;22;;0;0;0;0;0;9;0;1;0;0;0;0;12;22;0;4;0;0;1;0;0
USLD;2018;190005165;190002519;71;25380;83;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;210986329;750043713;30;10348;14;;;;;;;;;6;;1;;;7;0;0;0;0;0;0;0;0
USLD;2018;210987574;210012175;30;10504;9;;;;1;;;;1;1;;;;;6;0;3;0;0;0;0;0;0
USLD;2018;210987616;210012175;30;7435;5;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;210987681;210012142;0;7282;11;;;;;4;;;3;4;;;;;;;;;;;3;1;
USLD;2018;210987939;210780607;42;15158;6;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;220000095;220000046;60;20899;40;;;;4;;;;29;;;1;;;6;;;;;;5;;
USLD;2018;220000343;220000079;30;10560;21;;;;;;;5;3;;;;;;13;;;;;;9;;
USLD;2018;220000368;220000103;30;10555;29;;;;6;;;;4;;;;;;18;;;;;;3;2;
USLD;2018;220000566;220021968;30;10586;45;;;;23;6;;;4;2;;1;;;9;;;1;;;7;7;
USLD;2018;220001259;220005045;60;20800;53;;;;;;8;3;22;5;;1;;;14;;;;;;13;;
USLD;2018;220006423;220000152;30;10152;20;;;;4;2;4;;4;2;;;;;4;;;;;;2;2;
USLD;2018;220014138;220017974;30;10514;23;;;;1;6;;;6;1;;;7;2;;;;;;;;;
USLD;2018;230000259;230780041;50;17664;26;;;;4;;;;21;;;;;1;;7;14;1;3;;;;
USLD;2018;230000838;230780058;30;10168;23;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;230000846;230780066;30;9577;24;;;;3;;;;11;7;;;;;3;;;11;;;2;;
USLD;2018;230000952;230780512;30;9356;17;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;230000960;230780520;30;10297;12;;;;;4;;;5;1;;1;;;1;;;;;;;;
USLD;2018;240000372;240000059;50;16239;27;;0;0;7;0;7;0;0;10;0;1;0;0;2;0;0;0;17;0;1;1;0
USLD;2018;240000471;240000109;30;10817;29;;;2;;2;;1;10;5;;;;;4;;;;;;4;;
USLD;2018;240000489;240000117;60;21627;45;;;;12;1;;;6;6;;;;;11;0;0;0;0;0;10;;
USLD;2018;240000539;240016055;60;20678;46;;;2;4;;;;28;9;;;;;;;;;;;2;;
USLD;2018;240000687;240000448;40;14533;7;;;;2;;;;1;;;;;;4;;;;;;0;1;0
USLD;2018;250000627;250000221;34;10804;21;;;;7;;;;3;;;;;;11;;;;;;0;;
USLD;2018;250000635;250000239;20;7230;14;;;;3;;;;7;;;;;;4;14;20;5;5;0;11;1;1
USLD;2018;250000882;250002839;30;10594;24;;;;;5;;;;7;;;;;5;;;6;1;;3;1;
USLD;2018;250001237;250007598;60;21599;26;;0;;3;;0;;13;;0;;0;;10;0;0;0;0;0;3;0;0
USLD;2018;250001252;250007788;91;32562;29;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;250004009;900000365;30;10876;13;;0;0;1;0;0;0;10;0;0;0;0;0;2;0;0;0;2;0;0;0;0
USLD;2018;250007234;250000452;30;10803;20;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;260000013;260000021;74;25970;87;;;;50;;;;33;1;;;;;3;;;;8;;6;5;
USLD;2018;260000138;260000047;40;14352;26;;;;3;;;;13;;;;;;10;;0;;5;;2;;
USLD;2018;260000195;260006770;58;19988;29;;;;4;8;;;13;;;;;;4;;;;;;;;
USLD;2018;260000823;260003264;33;11801;3;;;;;;;;;;3;;;;;;;;;;;;
USLD;2018;270000367;270000086;55;19893;26;;0;0;1;0;11;2;0;0;0;0;0;0;7;;;;0;;1;;
USLD;2018;270000425;270000102;37;13237;32;;;;1;;;;10;;;;;;19;0;0;0;0;0;2;;1
USLD;2018;270000441;270000110;50;16009;55;;;;11;;;1;16;8;1;;;;18;;;;;;11;2;
USLD;2018;270000516;270000177;30;9935;29;;;;;;;18;3;;;;;;8;;;;;;;;
USLD;2018;270026107;270023724;30;10213;38;;;;14;2;;;;9;;;;;11;;;;;;35;1;
USLD;2018;280000050;280000142;50;17877;10;;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2018;280000084;280000183;92;32847;34;;;;;;;;19;;;;;;15;;;;;;;;
USLD;2018;280000100;280000225;40;11617;16;;;;5;;;;1;2;;;;;8;0;0;0;0;0;1;;
USLD;2018;280000662;280500075;40;12594;33;;0;0;2;0;0;0;20;0;0;1;0;0;10;0;0;2;2;0;4;1;0
USLD;2018;290000033;290021542;10;3609;12;;;;;;;;5;;;;;;7;23;;;4;;3;;
USLD;2018;290000066;290020700;34;10771;44;;;;5;;1;;5;1;;1;;;31;1;;;;;14;;
USLD;2018;290000553;290021542;90;32656;24;;;;2;;;;9;;6;;;;7;118;;56;8;;5;;
USLD;2018;290000785;220020739;48;17255;20;;0;0;1;0;2;0;13;4;0;0;0;0;0;;;;;;0;0;0
USLD;2018;290008853;290000074;30;10072;19;;;;1;;;;15;;;;;;3;;;;;;;;
USLD;2018;290014687;560005746;30;10787;12;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;290017946;290000017;152;52890;91;;0;0;10;1;2;0;18;9;2;0;0;0;12;;;57;13;0;8;0;0
USLD;2018;290020841;290000298;0;1111;1;;;;;;;;;;;;;;1;;;10;;;;;
USLD;2018;290024462;290000298;56;18214;17;;;;;;;;;;6;;;;11;;;63;3;;4;;
USLD;2018;290025113;290020700;30;11223;28;;;;5;1;1;;2;5;;;;;14;1;;8;;;2;;
USLD;2018;290025147;290020700;30;10745;11;;;;;;;;4;;;;;;7;1;;1;;;2;;
USLD;2018;2A0000212;2A0000170;30;9458;15;;;;5;2;;;;;;;;;8;;;;8;;2;;
USLD;2018;2A0002614;2A0002606;30;8380;19;;;;;;;;14;;;;;;5;;;;3;;5;4;
USLD;2018;2A0023271;2A0000014;70;23995;62;;0;0;2;1;10;0;39;3;0;0;0;0;2;0;0;0;10;0;0;0;0
USLD;2018;2B0000038;2B0004246;10;1944;3;;;;;;3;;;;;;;;;;;;;;;;
USLD;2018;2B0004089;2B0000020;30;9297;21;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;2B0005359;2B0005342;20;7075;9;;;;4;1;;;;;;;;;4;0;0;0;0;0;;;
USLD;2018;300000031;300780053;30;10672;21;;;;4;3;1;;;;;;;;9;;;1;;;3;1;
USLD;2018;300000064;300780087;30;10690;27;;;;4;7;;;6;3;;;;;7;;;;;;2;14;
USLD;2018;300000072;300780095;30;9883;32;;0;0;6;2;0;0;2;11;0;0;0;1;5;0;0;6;15;0;2;1;0
USLD;2018;300012481;300780046;27;9787;9;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;300012499;300780046;63;22497;55;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;300782125;300780038;190;65294;201;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;310000310;310780671;60;20851;50;;;;43;;;4;0;1;;;;;2;;;;;;5;;
USLD;2018;310000336;310780713;61;20738;53;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;310013628;310786256;53;18875;33;;;;1;3;;;8;18;;;;;3;;;;1;;2;1;
USLD;2018;310021571;310021563;58;20327;36;;;;;;;5;18;10;;;;;3;;;;;;2;4;
USLD;2018;310022298;310781406;60;20904;49;;3;0;0;0;4;1;33;7;0;0;0;0;1;0;0;12;7;0;3;0;2
USLD;2018;310786702;750043713;76;26251;55;;;;;9;;;38;3;;;;;5;;;;;;6;;
USLD;2018;310794094;310780754;80;24265;61;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;320000086;320780117;70;23324;54;;0;;3;1;1;;31;;;2;0;;11;0;0;0;36;0;2;;
USLD;2018;320000102;320780133;35;10850;25;;;;10;;;;13;;;;;;;;;;;;;;
USLD;2018;320000128;320780158;30;10441;25;;0;0;0;0;0;10;0;10;;;;;5;;;;;;;;
USLD;2018;320000144;320780174;30;10573;25;;0;;9;;0;;13;;0;;0;;3;0;0;5;0;0;6;0;1
USLD;2018;320000177;320780208;30;10189;20;;;;8;8;;;;;;;;;4;;;;30;;;;
USLD;2018;330000571;330781220;20;7138;11;;;;1;;;5;;;;;;;;;;;;;;;
USLD;2018;330000613;330781261;60;21320;34;;;;;;2;;16;8;;;;;8;;;;;;9;2;
USLD;2018;330005182;330792862;50;17790;25;;;;;10;;;;4;;4;;;29;;;6;2;;2;;19
USLD;2018;330781337;330781196;120;41575;54;;;;8;;14;;10;1;;;;;2;;;;;;;;
USLD;2018;330791641;330056540;80;28598;42;;0;0;10;;15;;3;;1;;0;;13;0;0;2;2;0;1;1;0
USLD;2018;340000033;340780055;143;48775;152;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;340000215;340780519;28;9838;23;;;;5;1;;;6;;;;17;;17;;;;;;;;
USLD;2018;340000231;340780535;49;16860;32;;;;4;4;;;5;3;;;;;16;;;9;;;6;;
USLD;2018;340008275;340780477;76;25474;66;;2;;4;1;11;2;17;3;0;0;0;0;23;;;;;;7;;1
USLD;2018;340024512;340001825;80;29263;30;;0;0;0;0;14;8;0;1;0;1;0;0;22;0;0;0;0;0;7;0;0
USLD;2018;340780436;340011295;35;12526;39;;0;0;8;0;7;0;10;3;0;0;0;0;11;;;;;;;;
USLD;2018;340780444;340009893;30;10428;19;;;;3;;;;8;;;;8;;;;;;;;;;
USLD;2018;340782481;340780477;70;23981;52;;2;;4;;5;;21;;;;;;15;;;3;;;14;;
USLD;2018;340796051;340011295;55;19238;45;;2;0;0;0;2;0;12;21;1;0;0;0;7;;;;;;;;
USLD;2018;350000154;350000030;49;17020;35;;1;;7;;8;;14;2;;;;;3;;;;9;;3;14;
USLD;2018;350000162;350000048;30;10851;14;;;;2;;;;5;;;;;;7;;2;;8;0;2;;
USLD;2018;350000436;350002317;30;9703;26;;0;0;16;0;0;0;9;0;0;0;0;0;1;0;0;0;;0;0;0;0
USLD;2018;350002911;220020739;30;10712;29;;0;;0;;0;13;2;1;0;;0;;13;0;0;0;3;0;2;;
USLD;2018;350005021;440042844;60;21192;61;;;;9;14;10;;19;;;;;;9;;;;;;;;
USLD;2018;350006771;350005179;120;39803;95;;;;76;5;;;;;1;;;;12;;;;35;;2;;2
USLD;2018;350013629;350000022;83;29828;51;;;;23;;;;8;2;;;;;18;;;;;;;;
USLD;2018;350016135;350000055;53;17346;49;;;;4;2;;;38;1;;;4;;;;;;;;1;;
USLD;2018;350032280;350000246;80;28533;81;;1;;;27;;;;1;10;7;;;26;;;;;;;;
USLD;2018;360000160;360000053;30;10246;43;;;;12;3;;1;16;;;;;;11;;;;;;;;
USLD;2018;360000202;360000103;31;9674;29;;;;;4;;;12;2;;;;;6;;;;2;;1;;
USLD;2018;360004618;360000046;30;10736;12;;;;1;;;;8;;;;;;3;;;;;;1;;
USLD;2018;360006688;360000392;81;28354;100;;;;;;;;;;;;;;;;;;;;22;;
USLD;2018;370000531;370000606;124;43539;70;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;370102659;370013054;80;28349;15;;;;;;;;;;;12;;;3;;;;;;4;;
USLD;2018;380000026;380780031;30;10642;16;;0;0;8;0;;;5;0;0;0;0;0;;;;;;;;;
USLD;2018;380000075;380780098;45;16226;20;;;;;8;;;4;1;;;;;7;;;;;;2;;
USLD;2018;380000109;380780213;76;26618;76;;;;7;25;;;12;20;;;5;5;;;;;;;;;
USLD;2018;380000356;380782698;70;25371;47;;;;;4;;14;10;4;;;;;15;;;;;;8;;
USLD;2018;380020388;380784751;30;10640;33;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;380782722;380780080;165;57983;175;;;;30;1;44;;22;3;;;0;0;22;;;;2;;9;2;
USLD;2018;380785840;380780049;38;13817;22;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;380798520;380780049;47;17070;35;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;380802512;380793265;45;16149;32;;;0;;20;;2;;5;;0;;1;4;0;0;0;0;0;3;0;0
USLD;2018;390000040;390780146;51;18337;19;;;;;;;;13;;;;;;6;0;35;0;0;0;0;0;0
USLD;2018;390000065;390780161;30;10685;25;;;;9;;8;;6;1;;;;;1;0;0;0;0;0;1;0;0
USLD;2018;390000214;390780146;30;10721;11;;;;3;;;;6;1;;;;;1;0;0;0;1;0;1;0;0
USLD;2018;390000222;390780609;27;11482;27;;;;1;;1;;22;;;;;;4;;;;4;;5;1;
USLD;2018;390784833;390780609;32;11482;13;;;;1;;1;;22;;;;;;4;;;;4;;2;;
USLD;2018;400000147;400780268;40;14435;38;;;;5;3;;;16;;;2;;;7;;;;;;6;2;
USLD;2018;400000261;400780458;150;54519;59;;;;;6;;;44;1;;;;;8;;;;43;5;;;5
USLD;2018;400006607;400790663;30;10950;26;;;;;7;;;;4;;;;8;;;;;4;;2;;1
USLD;2018;400780250;400011177;80;28420;95;;2;;18;;16;;45;2;4;;;;8;;0;0;36;0;20;0;0
USLD;2018;400781043;400780193;99;30709;125;;0;0;22;2;7;0;43;0;0;0;4;0;25;0;4;3;4;0;21;3;6
USLD;2018;410000020;410000087;100;34991;63;;0;;18;;2;;26;;;;;;17;;;;;;;;
USLD;2018;410000046;410000103;60;21306;27;;0;0;3;0;0;0;13;0;0;0;0;0;11;0;0;0;0;0;0;0;0
USLD;2018;420000234;420780652;90;32086;63;;;;9;;;;50;;;;;;4;;;;30;;13;;
USLD;2018;420000275;420780694;30;10900;6;;;;;1;;;3;;;;;2;;;;;;;;;
USLD;2018;420780546;420000168;30;10829;14;;0;0;0;1;0;3;0;2;0;0;0;0;7;0;0;0;0;0;2;0;0
USLD;2018;420782559;420784878;160;57000;145;;;;26;9;;;95;2;1;1;;;10;;;;;;7;1;6
USLD;2018;420784845;420780033;90;32026;79;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;420789067;420780710;50;18105;30;;;;;11;;2;;12;;;;;5;;;;;;1;;
USLD;2018;430000117;430000018;41;17046;59;;10;3;4;;9;2;;2;;;;;29;0;0;5;11;0;15;5;3
USLD;2018;430000190;430000034;20;7244;9;;0;0;0;0;1;0;5;1;0;0;0;0;2;0;0;0;0;0;0;1;0
USLD;2018;430000307;430000067;40;14092;28;;0;0;11;;;6;;8;;;;;3;;;;;;0;0;0
USLD;2018;430000356;430000091;30;10714;21;;;;5;5;;;2;;;;;;9;;;;;;3;;
USLD;2018;430007419;630786754;40;14592;2;;;;;;;;;;;;;;;;;6;;;;;
USLD;2018;440000180;440000263;30;10867;5;;;;;;;;;;4;;;;1;;;;;;;;
USLD;2018;440000396;440053643;30;10519;25;;;;9;;;;15;;;;;;1;2;2;3;10;6;3;3;
USLD;2018;440000503;440000313;30;10780;17;;;;1;;;;13;;;;;;3;;;4;;;3;1;
USLD;2018;440000552;440042141;28;7459;6;;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0
USLD;2018;440000644;440000347;30;10745;20;;;;;;;;14;;;;;;6;;;;;;2;;2
USLD;2018;440000883;440042141;27;9413;13;;0;0;0;1;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2018;440001253;440028538;42;15103;35;;;;3;;;;7;;;;;;25;;;;;;12;1;
USLD;2018;440001295;440000859;39;14051;15;;;;;;;;9;;;;;;2;;;;;;1;;
USLD;2018;440001964;440003267;30;10514;8;;;;;;;;6;1;;;;;1;;;;;;;;1
USLD;2018;440002939;440018620;37;13373;15;;;;;;;6;;4;;;;;5;;;;;;2;;
USLD;2018;440007607;440000057;74;25268;52;;4;;16;1;;;21;7;;1;;;2;;;;;;2;0;1
USLD;2018;440021202;850009010;30;10405;20;;;;;;;;11;1;;;;;8;1;0;0;2;0;4;;1
USLD;2018;440032399;440041531;28;9963;23;;;;3;;;;15;1;;;;;20;;;;;;8;;
USLD;2018;440050458;440000289;10;1617;1;;;;;;;;1;;;;;;;;;;;;;;
USLD;2018;440050466;440000289;160;51804;74;;;;;;;13;58;;;;3;;;;;;;;;;
USLD;2018;450000062;450000104;50;16194;38;;;;4;;2;;17;4;;;;;11;0;0;0;1;0;14;0;0
USLD;2018;450000070;450000112;48;17225;26;;;;;;;;16;;;;;;10;;;;;;;;
USLD;2018;450000336;450000179;40;14581;29;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;450010442;450000088;160;57751;62;;;;;;;;;;;;;;;;;;;;;;
USLD;2018;450019799;450000104;32;11609;12;;;;;;1;;;;;;;;11;;;;;;6;;
USLD;2018;460000052;460780091;50;18211;17;;;;3;2;;;10;;;;;;2;;;;;;0;2;
USLD;2018;460785595;460780216;60;21213;24;;;;4;8;12;;;1;;3;;;4;28;2;5;;;1;2;
USLD;2018;470000431;470000324;41;14293;35;;0;;16;0;8;;16;0;;0;;;3;;;;15;;4;2;
USLD;2018;470000571;470000407;30;10589;36;;;;1;1;;;3;2;;;;;11;;;;;;;;
USLD;2018;470008780;470016171;36;13074;6;;;;;;3;;2;;;;;;1;11;3;1;3;0;5;1;1
USLD;2018;470012931;470001660;27;9828;10;;;;;;;;;;1;;;;9;;;;;;5;;
USLD;2018;480000017;480780097;30;10427;21;;0;0;0;0;0;0;7;2;0;0;0;0;12;0;0;0;12;0;2;0;0
USLD;2018;480000041;480780139;25;7858;21;;0;0;2;0;0;0;7;0;0;0;0;0;;0;0;0;0;0;3;0;0
USLD;2018;480000074;480780162;30;10815;30;;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0
USLD;2018;490000353;490000411;35;11782;24;;;;;;;;11;;;;;;;;;;;;;;
USLD;2018;490000569;440000313;36;13122;42;;;;1;;;;18;4;;;;;19;;;;;;16;4;
USLD;2018;490000635;490000676;34;12295;15;;;;8;;;;5;;;;;;2;;;2;;;;1;
USLD;2018;490000650;490007689;30;9328;21;;;;5;;;;1;5;;;;;10;;;;;;6;;
USLD;2018;490008604;490001070;66;22233;50;;;5;;;;;;19;;;;;26;;;;;;;;
USLD;2018;490531910;490535093;60;21832;28;;;1;;4;;;3;1;;;;;19;;;;;;1;;
USLD;2018;490536224;490000031;19;6385;0;;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2018;500000021;500000054;70;25199;71;;;;2;1;2;;10;;;1;;47;;;;3;;3;1;;
USLD;2018;500000260;500000054;50;18896;70;;;;;;;;;;;;;;5;;;;;875;2;;
USLD;2018;500000450;500000112;35;12558;25;;;;3;4;;;7;2;;;;;9;;;;;;2;;
USLD;2018;500000591;500000393;60;20841;36;;0;0;13;2;0;0;4;2;0;0;0;0;15;;;;;;;;
USLD;2018;510000169;510000037;30;10045;27;;;;;;3;;9;1;;;;;;;;5;9;;;;
USLD;2018;510000235;510000060;30;9915;28;;;;3;;7;;;6;;;;;12;;;;5;;;2;
USLD;2018;510000466;510000102;30;10206;12;;0;;8;;0;;2;;0;;0;;1;0;0;4;0;0;0;0;0
USLD;2018;510011679;510000029;120;40735;67;;0;0;4;4;2;0;37;5;1;0;0;0;14;0;0;;30;12;19;1;1
USLD;2018;510024466;510000128;30;9842;18;;;;;2;;;9;1;;;;;6;0;0;7;4;0;3;3;
USLD;2018;520000019;520780024;32;11339;28;;;;1;11;;;3;7;1;;;;5;;;;17;;2;5;
USLD;2018;520000076;520780081;35;12714;36;;0;0;1;2;0;0;5;3;0;0;0;1;14;;;;1;;2;1;0
USLD;2018;520782939;520780032;40;14536;32;;;;;;;;6;;;;7;;15;;;;;;;;
USLD;2018;530000132;530007202;30;10159;13;;;;3;;;;4;1;;;;;4;;;;11;;;;
