BOR;AN;nofinesset;nofinessej;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM;PCON;PACT
MCO;2020;060021417;060000221;30;10950;627;0;5782;76;27740;2463;0;6415;;;0;0;0;106;38690;3090;0;12197;1;3;;;162;50;14527;;0;;;51;14530;;;162;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060780442;060000213;;;0;0;0;30;10950;1333;1;1507;;;0;0;0;30;10950;1333;1;1507;;0;;;0;10;4170;;0;;;10;4170;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060780491;060790797;56;20440;2908;18;17525;72;26280;3570;114;13031;;;0;0;0;128;46720;6478;132;30556;10;5906;;;174;23;4819;;0;;;33;10725;;;174;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;060780517;060000239;67;24455;4321;0;20577;89;32485;18578;0;14444;34;12410;1307;0;4159;190;69350;24206;0;39180;10;1021;;;9859;57;15015;2;123;;;69;16159;;;9859;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060780590;060000270;;;0;0;0;54;19710;1846;1;5524;;;0;0;0;54;19710;1846;1;5524;;0;;;478;10;5100;;0;;;10;5100;;;478;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060780715;060000361;66;24156;8517;1592;31646;160;58560;6339;120;19976;30;10980;1529;12;5795;256;93696;16385;1724;57417;;0;;;8112;61;18873;;0;;;61;18873;;;8112;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060780723;060004959;16;5840;1444;98;6183;71;25915;2355;196;6643;;;0;0;0;87;31755;3799;294;12826;;0;;;4196;31;8685;;0;;;31;8685;;;4196;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060780756;060000403;6;2190;288;0;1712;40;14600;1808;0;4009;52;18980;2291;37;8734;98;35770;4387;37;14455;;0;;;81;15;7082;;3;;;15;7085;;;81;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060780947;060800174;78;28473;6626;1647;17418;24;8784;2275;349;5154;;;0;0;0;102;37257;8901;1996;22572;8;1029;;;800;14;1686;;0;;;22;2715;;;800;1;1;1;1;1;1;1;1;1;;;;;43104;;41219;1633;;12741;;
MCO;2020;060781200;060000635;36;13176;2022;11;15401;61;22326;987;6;3307;;;94;94;0;97;35502;3103;111;18708;;0;;;336;19;6814;;1;;;19;6815;;;336;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
