BOR;AN;nofinesset;nofinessej;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2020;060780145;060000049;SSR_TOT;;101;36966;;1022;34402;67;0;0
SSR;2020;060780186;060006939;SSR_A;;52;18980;;543;19168;25;0;
SSR;2020;060780186;060006939;SSR_A50;1;52;;;;19168;;0;
SSR;2020;060780186;060006939;SSR_TOT;;52;18980;;543;19168;25;0;0
SSR;2020;060780277;920030269;SSR_A;;126;46116;;688;32286;112;0;
SSR;2020;060780277;920030269;SSR_A50;1;96;;;;18701;;0;
SSR;2020;060780277;920030269;SSR_A59;1;30;;;;13585;;0;
SSR;2020;060780277;920030269;SSR_TOT;;126;46116;;688;32286;112;0;0
SSR;2020;060780343;060000171;SSR_A;;58;21170;;587;19279;31;0;
SSR;2020;060780343;060000171;SSR_A50;1;58;;;;19279;;0;
SSR;2020;060780343;060000171;SSR_TOT;;58;21170;;587;19279;31;0;0
SSR;2020;060780350;750056335;SSR_A;;44;16060;;338;14153;46;0;
SSR;2020;060780350;750056335;SSR_A50;1;44;;;;14153;;0;
SSR;2020;060780350;750056335;SSR_TOT;;44;16060;;338;14153;46;0;0
SSR;2020;060780392;060000205;SSR_A;;97;35405;;841;31624;61;0;
SSR;2020;060780392;060000205;SSR_A50;1;97;;;;31624;;0;
SSR;2020;060780392;060000205;SSR_TOT;;97;35405;;841;31624;61;0;0
SSR;2020;060780459;010783009;SSR_A;;85;28402;22;627;24228;51;3298;
SSR;2020;060780459;010783009;SSR_A50;1;10;;1;;1399;;24;
SSR;2020;060780459;010783009;SSR_A51;1;41;;16;;13407;;2614;
SSR;2020;060780459;010783009;SSR_A52;1;34;;5;;9422;;660;
SSR;2020;060780459;010783009;SSR_TOT;;85;28402;22;627;24228;51;3298;0
SSR;2020;060780558;750720575;SSR_A;;10;3065;2;216;4667;0;15;
