BOR;AN;nofinesset;nofinessej;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2017;020000394;020000253;1;1;0;0;0;;0;1;336;336;336;2;2;1;0;990;486;0;107;248;0;1831;365;115;8;30;196;807;77;159;584;223;330637;;189038;158184;98734;90219;21545;248;168;80;360;0;0;0;5975;0
SMURSAMU;2017;020000519;020000261;1;1;0;0;0;;0;0;168;168;168;;1;;;630;;;;;;630;174;100;2;37;34;466;48;129;456;10;;;;;;;;;;;;;;;;
SMURSAMU;2017;020000535;020000287;1;1;0;0;0;;0;0;168;175;175;1;1;;;531;;;;;;531;94;70;8;15;1;437;45;140;284;153;;;;;;;;;;;;;;;;
SMURSAMU;2017;020001061;020004404;1;1;0;0;0;;0;0;168;168;129;1;1;0;0;594;165;0;7;0;0;766;121;78;8;15;20;538;52;129;465;73;;;;;;;;;;;;;;;;
SMURSAMU;2017;020001087;020004495;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;497;0;0;0;0;0;497;126;74;18;18;126;424;69;101;201;223;;;;;;;;;;;;;;;;
SMURSAMU;2017;020016366;020000063;1;0;0;0;1;20000063;0;0;84;17;0;0;0;0;0;338;0;0;0;0;0;338;178;43;4;11;129;161;24;29;128;33;;;;;;;;;;;;;;;;
SMURSAMU;2017;030000061;030780092;1;1;0;0;0;;0;1;336;352;224;2;2;0;0;1104;357;0;13;16;0;1490;401;134;8;114;145;704;88;227;597;107;234242;;189057;173119;125574;97346;31286;272;168;104;660;1;1;0;1368;0
SMURSAMU;2017;030000079;030780100;1;1;0;0;0;;0;0;336;336;223;1;2;0;0;1244;336;;;;;1580;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2017;030000087;030780118;1;1;0;0;0;;0;0;336;336;336;2;2;0;0;1592;209;;14;10;;1825;560;173;137;;178;983;153;329;937;46;;;;;;;;;;;;;;;;
SMURSAMU;2017;040000093;040780215;1;1;0;0;0;;0;0;175;175;0;1;2;;;542;89;;;;;631;191;69;;15;107;482;23;62;367;115;;;;;;;;;;;;;;;;
SMURSAMU;2017;040000135;050002948;1;1;0;0;0;;0;0;336;240;0;0;1;0;0;291;86;0;0;0;0;377;122;58;6;58;0;215;15;85;139;76;;;;;;;;;;;;;;;;
SMURSAMU;2017;040000911;040788879;1;1;0;0;0;;0;1;218;61;288;;2;;;307;23;;327;19;;676;50;42;;8;;554;;;412;142;77626;;77069;;40730;31821;10621;283;138;115;188;0;5;0;330;0
SMURSAMU;2017;050000231;050000116;1;1;0;0;0;;0;0;125;168;;;;;;186;18;;309;;7;520;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2017;050000348;050002948;1;1;0;0;0;;0;1;336;175;0;0;3;1;0;852;326;83;462;173;0;1896;169;60;8;0;188;1158;108;137;785;373;107210;;104562;98288;82172;34746;11569;276;168;108;252;1;25;;367;0
SMURSAMU;2017;060000478;060780897;1;1;0;0;0;;0;0;168;168;0;;1;;;817;143;;;;;960;;90;5;28;166;602;;;300;302;;;;;;;;;;;;;;;;
SMURSAMU;2017;060000510;060780954;1;1;0;0;0;;0;0;168;168;0;1;0;;;1541;104;;;;;1645;559;114;0;235;210;982;72;344;592;390;;;;;;;;;;;;;;;;
SMURSAMU;2017;060000544;060780988;1;1;0;0;0;;0;0;168;177;168;1;1;;;1273;58;;1;;;1332;251;124;;71;56;1023;;;868;155;;;;;;;;;;;;;;;;
SMURSAMU;2017;060024395;060785011;1;0;0;0;1;60785003;0;0;112;0;;;1;;;571;68;;;;;639;257;56;1;36;153;314;;;125;189;;;;;;;;;;;;;;;;
SMURSAMU;2017;060024411;060785011;1;0;0;0;1;60785003;0;0;0;0;0;;;;;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
