BOR;AN;nofinesset;nofinessej;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2020;290032838;350000626;0;;;;;154407;0;0;0;0;1;0;1;0;1;0;0;0;50;743;0;306;24;23827;0;10076;126;545;0;263;6;290;151;0;230;0;98;0
HAD;2020;290036375;290000447;0;;;;;;0;0;0;0;1;1;;;1;0;0;1;120;1526;0;595;56;36387;0;12166;1248;1129;0;553;21;564;379;1;453;0;306;0
HAD;2020;2A0001988;2A0001848;0;;;;;90000;1;1;0;1;1;0;1;0;1;0;0;0;30;301;0;93;8;10803;0;2592;304;174;0;63;6;82;40;2;33;0;14;0
HAD;2020;2A0002614;2A0002606;0;;;;;60000;0;0;0;0;0;1;0;0;1;0;0;0;25;126;0;65;0;3232;0;2256;0;69;0;46;0;19;17;0;2;0;0;0
HAD;2020;2B0000038;2B0004246;0;;;;;23000;0;0;0;0;1;1;;;1;0;0;0;20;44;0;21;1;2384;0;1104;3;39;0;17;1;22;8;0;0;0;0;0
HAD;2020;2B0001739;2B0001689;0;;;;;142977;1;0;0;0;1;1;;;0;0;0;0;50;253;0;7;12;9976;0;36;858;192;0;7;9;79;4;3;7;0;2;1
HAD;2020;2B0003289;2B0003198;0;;;;;85000;1;0;0;0;1;1;1;1;1;0;0;0;120;1079;0;208;738;34324;0;9701;14348;385;0;130;182;121;44;21;53;0;3;0
HAD;2020;300000031;300780053;1;3;300000031;300000056;300000064;178000;1;0;0;;1;1;;;1;0;0;0;13;257;0;37;153;6461;0;1105;1579;98;0;27;26;23;8;8;5;0;0;4
HAD;2020;300000056;300780079;1;1;300000031;;;20000;1;;;;0;1;;;1;0;0;0;5;115;0;51;5;2550;0;1155;34;104;0;48;3;47;25;0;13;0;7;0
HAD;2020;300000064;300780087;0;;;;;93000;1;1;0;0;1;1;;;1;0;1;1;8;69;0;9;43;1321;0;606;218;27;0;9;6;9;4;2;1;0;0;0
HAD;2020;300012309;340027937;0;;;;;407994;1;1;0;0;1;1;;;1;0;0;1;50;237;0;88;5;8785;0;2431;102;193;0;84;3;68;46;1;22;0;14;1
HAD;2020;300013745;340027937;0;;;;;214616;1;1;0;0;1;1;;;1;0;0;1;50;257;0;118;4;7816;0;2930;30;200;0;94;4;81;54;0;55;0;35;0
HAD;2020;300013778;300013760;0;;;;;400000;0;0;0;0;1;1;;;1;0;0;0;83;1037;0;648;15;30433;0;16611;250;875;0;574;8;525;364;1;330;0;181;1
HAD;2020;310005459;310021886;1;2;310005459;310005459;;990000;0;0;0;0;1;1;;;1;1;0;0;150;2578;182;540;919;51557;4149;15979;4078;1307;163;421;184;338;133;44;151;1;31;1
HAD;2020;310016977;310781406;0;;;;;;1;1;0;0;0;1;;;0;1;0;0;10;289;166;2;0;3128;1319;26;0;257;149;1;0;0;0;0;0;0;0;0
HAD;2020;310780259;310000096;1;2;310780259;310780259;;887472;0;0;0;0;1;1;0;0;1;0;0;1;100;1900;0;472;583;39814;0;14101;4425;1197;0;407;155;512;161;14;339;0;31;1
HAD;2020;320004328;310000096;0;;;;;196930;0;0;0;0;1;1;0;0;1;0;0;0;30;412;0;137;42;12449;0;4524;700;288;0;107;18;92;36;2;57;0;15;0
HAD;2020;330000332;330780545;1;2;330000332;;;373000;1;0;0;1;1;0;1;1;1;0;0;1;158;1612;0;387;278;39162;0;12050;2440;876;0;296;63;447;152;8;335;0;59;0
HAD;2020;330000340;330780552;1;1;330000340;;;933266;1;1;0;1;1;1;;;1;0;0;1;250;4754;319;750;2230;83273;7694;24366;6915;1953;253;584;313;574;267;59;280;0;117;2
HAD;2020;330000589;330027509;0;;;;;128000;1;1;0;0;1;1;;;1;1;0;0;40;489;103;103;38;11257;2155;3465;274;365;79;83;11;89;36;1;107;0;11;0
HAD;2020;330025958;330025859;1;2;330025958;330025958;;330000;1;1;0;0;1;1;;;1;0;0;1;116;1342;1;355;233;32036;8;12195;1392;797;1;294;36;404;134;11;323;0;66;1
HAD;2020;340000223;340011295;0;;;;;;1;0;0;0;1;1;1;0;1;0;0;0;30;190;0;59;9;10144;0;3097;733;152;0;50;5;59;24;1;37;0;15;0
HAD;2020;340016476;340016468;0;;;;;200000;0;0;0;1;1;1;;;1;0;0;1;90;819;0;304;35;30814;0;11096;1231;632;0;266;15;299;134;1;235;0;72;0
HAD;2020;340017839;340027937;0;;;;;515791;1;1;0;1;1;1;;;1;0;0;1;50;414;0;253;1;16040;0;8064;8;378;0;245;1;258;191;0;256;0;189;0
HAD;2020;340017847;340018175;0;;;;;;0;0;0;0;1;1;0;0;1;0;0;1;30;531;0;187;33;11572;0;3759;604;452;0;173;17;251;109;8;191;0;48;0
HAD;2020;340021211;340780055;1;1;340016476;;;;1;;0;1;1;1;;;1;0;0;1;20;290;0;58;48;10995;0;1568;969;203;0;53;13;86;25;4;47;0;10;0
HAD;2020;340780154;340000116;0;;;;;150000;0;0;1;1;1;1;;;1;0;0;1;80;546;0;272;15;18975;0;8439;355;442;0;212;12;229;130;1;240;0;85;1
HAD;2020;340782036;340780477;1;2;340782036;340796663;;532000;0;0;1;1;1;1;;;1;1;0;1;103;1194;202;179;311;24752;2644;3162;5552;797;177;168;114;186;90;11;108;0;35;0
HAD;2020;350042628;350042578;0;;;;;830200;0;0;1;1;1;1;0;0;1;1;1;1;150;2334;92;728;80;49666;2345;14081;1763;1382;72;667;48;630;436;8;404;0;315;1
