BOR;AN;nofinesset;nofinessej;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2020;270000359;270023724;1;799;66;756;3.1;1;35;;956;0;10973;2;;3;3;4.52;0.6;0;;1;;10;18;;;3;16;12;;;3;18.28;20.61;;;5.23
MCOGER;2020;270000367;270000086;0;;;;;1;10;0;331;0;2861;0;0;1;1;0.1;0.1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0.3
MCOGER;2020;270000391;760024042;0;;;;;1;15;0;557;0;5158;3;3;;;2.85;2.85;0;0;0;0;13;12;;;31;8;20;;;6;13.18;20.54;;;9.7
MCOGER;2020;270000425;270000102;0;;;;;1;5;;33;0;585;1;;1;;1;;;;;;;;;;;1;1;;;;1.56;1.2;;;
MCOGER;2020;270000458;270023724;1;410;;354;1.35;1;22;;643;0;7740;;;1;1;0.25;0.25;0;0;1;1;10;13;;;1;2;5;;;;10.45;15.51;;;1
MCOGER;2020;280000043;280000134;0;;;;;1;0;2;0;148;0;0;0;0;0;0;0;0;0;0;0;1;;;;2;;;;;;0.81;;;;2.76
MCOGER;2020;280000084;280000183;1;840;60;674;2.5;1;40;;1095;0;11629;8;1;1;;7.61;1;0;;1;;17;24;;;9;2;;;;2;16.93;23.95;;;10.13
MCOGER;2020;280000662;280500075;0;;;;;1;30;0;740;0;9015;2;;;;1.74;;0;;1;;7;11;;;2;;3;;;1;6.11;14.11;;;4.6
MCOGER;2020;280504267;280000134;1;376;69;353;2.5;1;53;0;1135;0;19026;6;1;1;1;2.35;2.23;0;0;1;1;19;24;;;9;3;2;;;3;19.87;26;;;9.15
MCOGER;2020;290000025;290020700;1;951;;580;2.8;1;24;6;669;683;8609;1;1;5;5;3.75;3.75;0;0;0;0;9;12;;;6;4;6;;;12;12.77;15.86;0;0;7.53
MCOGER;2020;290000033;290021542;1;999;0;666;3;1;25;0;764;4;9019;2;0;3;0;1.55;0;0;0;0;0;9;13;;;3;6;3;;;7;13.82;15.64;;;6.92
MCOGER;2020;290000173;290000041;0;;;;;1;14;;535;0;4175;3;3;1;0;2.06;1.67;0;0;0;0;;;;;;29;35;;;6;6.92;8.47;;;1.37
MCOGER;2020;290000181;290000074;1;60;0;58;;1;26;8;913;106;8041;2;2;2;0;2.95;2;0;0;1;1;4;2;0;0;7;14;19;1;0;7;9.86;12.82;0.5;0;5.98
