BOR;AN;nofinesset;nofinessej;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2020;180000200;180000051;TYPE1;;0;15;;;;3;594;80;0;0;0;0;0;0;396;5;1996;0;0;0;1444;397;1679;84;470;0;397;0;5;;400;;;;10;0;1;185;138;147;11;;1;0;0
PERINAT;2020;180000283;180000069;TYPE1;;0;15;;;;2;447;71;0;0;0;0;0;0;311;3;1739;0;0;0;1467;309;1572;70;495;0;307;2;2;;313;1046;1114;;10;0;1;48;87;28;5;;1;0;0
PERINAT;2020;180004145;180000887;TYPE1;;;11;;;;3;662;71;0;0;0;0;0;0;545;6;2229;0;0;0;1893;547;2145;133;616;0;547;0;6;;549;;;;23;0;1;16;23;6;0;;0;0;0
PERINAT;2020;190000018;190000042;TYPE2;;0;28;6;0;0;5;1630;109;139;6;0;0;0;0;1201;0;6333;1424;0;0;4566;1286;5805;305;1616;1;1263;23;6;0;1314;7437;11411;137;18;0;1;468;420;357;8;;12;0;0
PERINAT;2020;190000026;190000059;TYPE1;;;15;0;;;4;958;100;0;0;0;0;0;0;730;65;3356;0;0;0;2251;718;3028;127;653;5;706;12;62;;731;1996;2549;357;79;0;1;135;120;64;7;;3;0;0
PERINAT;2020;190000091;190000075;TYPE1;;0;6;;;;2;258;33;0;0;0;0;0;0;162;1;849;0;0;0;630;158;719;27;147;0;158;0;1;0;161;2846;1804;68;6;0;1;89;78;70;1;;1;0;0
PERINAT;2020;190000224;190000901;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;26;;0;0;;7;0;0
PERINAT;2020;190000257;190001131;;;;0;;;;;8;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;9;;3;0;;0;0;0
PERINAT;2020;190013219;190000042;TYPE2;;;;6;;;;0;0;113;6;0;0;0;0;0;0;0;773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0
PERINAT;2020;210012670;210011367;TYPE2;;1;23;8;4;;5;1653;84;207;1;160;1;0;0;1194;1;5576;1475;471;0;3501;1394;5144;291;1315;0;1381;13;2;;1407;;;;168;0;1;1;0;0;0;;3;0;0
PERINAT;2020;210987558;210780581;TYPE3;EXT;1;70;6;15;12;8;4627;497;702;75;253;2;339;19;2438;2;18596;3650;5759;4131;7422;3177;15279;508;3811;0;3090;87;0;;3288;16755;11311;78;336;0;1;725;799;184;57;;85;1;472
PERINAT;2020;210987657;210012175;TYPE2;;0;23;6;;;2;817;58;119;7;0;0;0;0;571;2;2822;1000;0;0;1814;657;2605;92;500;0;650;7;6;;668;5792;2459;88;61;0;1;78;53;32;5;;2;0;0
PERINAT;2020;210987665;210012142;CPPR;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;455;2993;954;0;0;1;23;23;23;0;;0;0;0
PERINAT;2020;210987699;210780706;TYPE1;;0;14;;;;2;582;63;0;0;0;0;0;0;428;2;1905;0;0;0;1509;421;1716;41;232;0;420;1;2;0;428;2880;3572;65;22;0;1;79;76;56;6;0;0;0;0
