,IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
140,60440101,A,1.5,94.57279549290232,Quartiers Est-Les Salettes-Les Campons,06044,La Colle-sur-Loup
141,60440102,A,2.0,101.65339624952229,Village Centre,06044,La Colle-sur-Loup
142,60440103,A,4.0,84.23402915053424,Quartiers Ouest-Montgros-Montmeuille,06044,La Colle-sur-Loup
143,60450000,C,0.0,0.0,Collongues (commune non irisée),06045,Collongues
144,60460000,C,3.0,50.66381107323901,Colomars (commune non irisée),06046,Colomars
145,60470000,C,0.0,4.443241497272203,Conségudes (commune non irisée),06047,Conségudes
146,60480101,A,6.0,53.036014829340374,Contes Sud-Village-Pointe,06048,Contes
147,60480102,A,2.0,31.344394490817574,Contes Nord et Hameaux,06048,Contes
148,60490000,C,0.0,6.096928297817832,Courmes (commune non irisée),06049,Courmes
149,60500000,C,0.0,11.393118594500873,Coursegoules (commune non irisée),06050,Coursegoules
150,60510000,C,0.0,3.400914949098739,La Croix-sur-Roudoule (commune non irisée),06051,La Croix-sur-Roudoule
151,60520000,C,0.0,0.0,Cuébris (commune non irisée),06052,Cuébris
152,60530000,C,0.0,4.054712666212899,Daluis (commune non irisée),06053,Daluis
153,60540000,C,1.0,53.48452861327433,Drap (commune non irisée),06054,Drap
154,60550000,C,0.0,13.898698057239217,Duranus (commune non irisée),06055,Duranus
155,60560000,C,0.0,2.2252734922354738,Entraunes (commune non irisée),06056,Entraunes
156,60570000,C,4.0,36.36031886753141,L'Escarène (commune non irisée),06057,L'Escarène
157,60580000,C,0.0,9.666910060134178,Escragnolles (commune non irisée),06058,Escragnolles
158,60590000,C,2.0,65.29302062082284,Èze (commune non irisée),06059,Èze
159,60600000,C,3.5,73.61154978396446,Falicon (commune non irisée),06060,Falicon
160,60610000,C,0.0,9.444585239805198,Les Ferres (commune non irisée),06061,Les Ferres
161,60620000,C,0.0,39.902846067377816,Fontan (commune non irisée),06062,Fontan
162,60630000,C,0.0,0.0,Gars (commune non irisée),06063,Gars
163,60640000,C,1.3333333333333333,36.73443139576717,Gattières (commune non irisée),06064,Gattières
164,60650101,A,3.0,56.65967429585279,Nord,06065,La Gaude
165,60650102,A,0.0,43.45712521464665,Sud,06065,La Gaude
166,60660000,C,2.0,34.63706577714424,Gilette (commune non irisée),06066,Gilette
167,60670000,C,0.0,30.91113624602569,Gorbio (commune non irisée),06067,Gorbio
168,60680000,C,0.0,15.09937937159679,Gourdon (commune non irisée),06068,Gourdon
169,60690101,A,3.0,90.32745664090797,Centre Ville Nord,06069,Grasse
170,60690102,A,3.0,83.3763397370884,Saint-François,06069,Grasse
171,60690103,A,2.0,107.3053705675774,Centre Ville Sud-Ouest,06069,Grasse
172,60690104,A,0.0,106.4897075821401,Saint-Antoine,06069,Grasse
173,60690105,A,4.0,108.35761622975525,Saint-Jacques Nord,06069,Grasse
174,60690106,A,0.0,105.12803357480816,Saint-Claude (canton Nord),06069,Grasse
175,60690107,A,2.0,112.82824767761404,Le Plan,06069,Grasse
176,60690108,A,0.0,103.02717611032956,Saint-Claude (canton Sud),06069,Grasse
177,60690109,A,9.5,108.4481640192192,Centre Ville Sud-Est,06069,Grasse
178,60690110,A,1.5,98.73737726709717,Saint-Mathieu,06069,Grasse
179,60690111,A,3.0,103.47518788860552,Secteur Sauvegardé,06069,Grasse
180,60690112,A,5.0,107.6288801328249,Plascassier,06069,Grasse
181,60690113,A,11.0,106.72009699568966,Les Aspres,06069,Grasse
182,60690114,A,0.0,86.02866619555827,Saint-Jacques Sud,06069,Grasse
183,60690115,A,1.0,27.31196339935531,Roquevignon-La Marbrière,06069,Grasse
184,60690116,A,0.0,74.1066595340365,Magagnosc,06069,Grasse
185,60690117,A,0.0,73.49162741931865,Saint-Jean-Saint-Christophe,06069,Grasse
186,60700000,C,0.0,8.957804360053252,Gréolières (commune non irisée),06070,Gréolières
187,60710000,C,0.0,31.183210529588113,Guillaumes (commune non irisée),06071,Guillaumes
188,60720000,C,0.0,0.0,Ilonse (commune non irisée),06072,Ilonse
189,60730000,C,1.0,151.8502430343349,Isola (commune non irisée),06073,Isola
190,60740000,C,0.5,85.59781632850755,Lantosque (commune non irisée),06074,Lantosque
191,60750000,C,5.0,36.75973941214761,Levens (commune non irisée),06075,Levens
192,60760000,C,0.0,4.874631432961206,Lieuche (commune non irisée),06076,Lieuche
193,60770000,C,0.0,9.037135268949344,Lucéram (commune non irisée),06077,Lucéram
194,60780000,C,0.0,58.700784071813914,Malaussène (commune non irisée),06078,Malaussène
195,60790101,C,0.0,98.02732518645846,Les Tourrades-Pont de Siagne ou la Canardière,06079,Mandelieu-la-Napoule
196,60790102,A,0.0,110.35040842721517,Le Gavelier-La Tour,06079,Mandelieu-la-Napoule
197,60790103,A,1.0,65.33638539502562,Le Roc Fleuri-Capitou-Jeanne d'Arc,06079,Mandelieu-la-Napoule
198,60790104,A,2.0,31.702002212329415,Le Grand Duc-Minelle,06079,Mandelieu-la-Napoule
