;COQUET MARIE;JOSEE;;;;;13380;PLAN DE CUQUES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;PROVIS;DOMINIQUE;;;;;30200;BAGNOLS SUR CEZE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;PENEL;JOSIANE;;;;;13290;LES MILLES;;37;;;c1;;;;;;;;;;;;;;;;;;;
;SUDRIA GAVOILLE;MICHELE;;;;;13009;MARSEILLE;;37;;;c2;;;;;;23;57;;;;;;;;;;;;
;VINCENT;BEATRICE;;;;;13300;SALON DE PROVENCE;;37;;;c2;;;;;;30;50;;;;;;;;;;;;
;LEVY;DANIELLE;;;;;13012;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BENHAMOU ZOHRA;LINDA;;;;;13300;SALON DE PROVENCE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GALEA MARIE;JOSE;;;;;13008;MARSEILLE;;37;;;c2;;;;;;56;67;;;;;;;;;;;;
;LAVIGNAC MOREAU MARIE;PASCALE;;;;;36000;CHATEAUROUX;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;TROSLER VERGNET;ANNIE;;;;;13008;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;THERET CHAPELOT;EVELYNE;;;;;36000;CHATEAUROUX;;37;;;c2;;;;;47;;;;;;;;;;;;;;
;LE FOLL;CHANTAL;;;;;13004;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BURGOT;MARTINE;;;;;37500;ST BENOIT LA FORET;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;AUBERT;GUY;;;;;13006;MARSEILLE;;37;;;c2;;;;;;23;76;;;;;;;;;;;;
;SEJOURNE GALBY;MIREILLE;;;;;13300;SALON DE PROVENCE;;37;;;c2;;;;;50;;;;;;;;;;;;;;
;MERCIER;CHRISTINE;;;;;37000;TOURS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;LAGARRIGUE;MICHELE;;;;;37100;TOURS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GLASMAN;CHRISTINE;;;;;13013;MARSEILLE;;37;;;c2;;;;;;25;55;;;;;;;;;;;;
;VULLIERME CLAUDE;ANNE;;;;;38240;MEYLAN;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ROUX;CORINNE;;;;;37100;TOURS;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BURDEYRON ROZIER;DANIELE;;;;;39000;LONS LE SAUNIER;;37;;;c2;;;;;;30;41;;;;;;;;;;;;
;VIALA LOUIS;FRANCOIS;;;;;13700;MARIGNANE;;37;;;c2;;;;;60;;;;;;;;;;;;;;
