IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
60850105,H,10,158.94168,Les Colles-Camp Lauvas-Font de l'Orme,06085,Mougins
60850107,H,1,98.280823,Valmasque-Notre-Dame de Vie,06085,Mougins
60850108,H,1.5,81.002411,Mougins le Haut,06085,Mougins
60860000,Z,0,8.074544,Moulinet (commune non irisée),06086,Moulinet
60870000,Z,0,0,Les Mujouls (commune non irisée),06087,Les Mujouls
60880101,H,2,116.16443,Saleya-Château,06088,Nice
60880102,H,0,87.729652,Vieux Nice-Sainte-Réparate,06088,Nice
60880103,H,5,90.617645,Vieux Nice-Visitation,06088,Nice
60880201,H,3,190.16537,Garibaldi,06088,Nice
60880202,H,3,124.86087,Port,06088,Nice
60880203,H,3,134.63904,Cassini,06088,Nice
60880204,H,3,154.75575,Barla,06088,Nice
60880205,H,1,147.62048,Riquier-Fontaine de la Ville,06088,Nice
60880206,H,6,138.11285,Bonaparte,06088,Nice
60880301,H,8.9899998,168.82324,République,06088,Nice
60880302,H,0,171.4826,Pierre Sola,06088,Nice
60880303,H,3,156.47649,TNL-Beaumont,06088,Nice
60880304,H,10,153.17133,Riquier-Arson,06088,Nice
60880305,H,1,140.74158,Riquier,06088,Nice
60880401,H,2,70.104004,Mont Boron,06088,Nice
60880402,H,0,101.97545,Carnot,06088,Nice
60880403,H,2,100.75507,Mont Alban,06088,Nice
60880404,H,0,117.96277,Bischoffsheim,06088,Nice
60880501,H,0,149.6662,Diables Bleus,06088,Nice
60880502,H,0,150.12329,Saint-Jean d'Angély,06088,Nice
60880503,H,1,132.75526,Saint-Roch-Jean XXIII,06088,Nice
60880504,H,3,131.35466,Vauban,06088,Nice
60880505,H,1,136.20381,Saint-Roch-Ricolfi,06088,Nice
60880506,H,0,129.94283,Saint-Charles,06088,Nice
60880507,H,5,120.58049,Roquebillière,06088,Nice
60880508,H,0,129.04948,Pierre Semard,06088,Nice
60880509,H,2,134.03087,Mont Gros,06088,Nice
60880601,H,2,161.75438,Lyautey-Gendarmerie,06088,Nice
60880602,H,0,173.4514,Paschetta,06088,Nice
60880603,H,2.5,147.29536,Pasteur,06088,Nice
60880604,H,0,117.11929,Pasteur-Voie Romaine,06088,Nice
60880605,H,0,147.04286,Pasteur-Saint-Pons,06088,Nice
60880701,H,0,107.1216,Route de Turin,06088,Nice
60880702,H,5,100.83446,Bon Voyage,06088,Nice
60880801,H,0,72.720207,Vinaigrier,06088,Nice
60880901,H,0,126.45457,Ariane-Les Chênes,06088,Nice
60880902,H,7,117.66203,Ariane-Monzie,06088,Nice
60880903,H,1,100.00323,La Lauvette,06088,Nice
60880904,H,3.5,121.65282,Ariane-Ripert,06088,Nice
60880905,H,2,102.57588,Ariane-Saramito,06088,Nice
60881001,H,0,133.2449,Cimiez-Monastère,06088,Nice
60881002,H,2,110.70815,Brancolar-Régina,06088,Nice
60881003,H,1,121.50253,Brancolar-Scudéri,06088,Nice
60881004,H,5.5,145.06396,Cap de Croix,06088,Nice
60881005,H,10.5,109.31657,Rimiez,06088,Nice
60881101,H,1,157.49474,Puget,06088,Nice
60881102,H,3,152.22844,Parc Chambrun,06088,Nice
60881103,H,4,139.62074,Le Ray-Gravier-Dunant,06088,Nice
60881104,H,0,135.08011,Gravier,06088,Nice
60881105,H,0,91.692757,Henry Dunant,06088,Nice
60881201,H,3,168.29857,Nice Nord-Saqui,06088,Nice
60881202,H,0,140.53088,Comte de Falicon,06088,Nice
60881203,H,2,99.208458,Cernuschi,06088,Nice
60881204,H,1,91.918358,Las Planas-La Vallière,06088,Nice
60881301,H,1,132.27303,Cessole,06088,Nice
60881302,H,9,145.65569,Saint-Barthélemy,06088,Nice
60881303,H,6,118.40474,Gorbella,06088,Nice
60881304,H,1,147.86229,Saint-Sylvestre,06088,Nice
60881305,H,2.5,143.79219,Villa Arson,06088,Nice
60881306,H,2,118.5109,Cyrnos,06088,Nice
60881307,H,0,91.768417,Cyrille Besset-La Forêt,06088,Nice
60881308,H,4,44.583248,La Clua,06088,Nice
60881309,H,2.5,139.54916,Canavese,06088,Nice
60881401,H,0,141.35172,Évêché,06088,Nice
60881402,H,3,158.39221,Bellevue,06088,Nice
60881403,H,0,123.45644,Le Righi,06088,Nice
60881404,H,0,114.49274,Mantega,06088,Nice
60881501,H,0,184.858,Marceau,06088,Nice
60881502,H,2,164.70796,Thiole,06088,Nice
60881503,H,5,164.13718,Jeanne d'Arc-Fuon-Cauda,06088,Nice
60881504,H,4.5,165.10922,Michel-Ange,06088,Nice
60881505,H,2,140.04846,Michelet,06088,Nice
60881506,H,0,159.2966,Borriglione-Saint Lambert,06088,Nice
60881601,H,3,152.34534,Carabacel,06088,Nice
60881602,H,0,177.21701,Acropolis-XVe Corps,06088,Nice
60881603,H,0,159.37836,Sainte-Rosalie-Arbre Inférieur,06088,Nice
60881604,H,0,160.00549,Cimiez,06088,Nice
60881605,H,0,170.28725,Caravadossi-George V,06088,Nice
60881606,H,3,108.95698,Cimiez-Valrose,06088,Nice
60881701,H,5,156.84367,Promenade du Paillon,06088,Nice
60881702,H,4,149.87451,Hôpital Saint-Roch,06088,Nice
60881703,H,3,161.15742,Raimbaldi,06088,Nice
60881704,H,1,172.56761,Desambrois,06088,Nice
60881705,H,2,171.26865,Sasserno,06088,Nice
60881801,A,0,167.08763,Gare Nice-Ville,06088,Nice
60881802,H,1,200.85493,Vernier,06088,Nice
60881803,H,5,182.71497,Trachel,06088,Nice
60881804,H,5,193.18678,Clément Roassal,06088,Nice
60881805,H,5.5,150.72736,Garnier-Gare de Provence,06088,Nice
60881901,H,1,182.35854,Grosso,06088,Nice
60881902,H,4.5,153.82895,Église Russe,06088,Nice
60881903,H,5,144.00969,Parc Impérial,06088,Nice
60882001,H,0,124.90546,Le Piol-Cyrnos,06088,Nice
60882002,H,0,181.49817,Saint-Philippe,06088,Nice
60882101,H,2,163.60753,Carlone,06088,Nice
60882102,H,1,164.54756,Madeleine Robiony,06088,Nice
60882103,H,1,138.59169,La Bornala,06088,Nice
60882104,H,1,114.82668,Madeleine,06088,Nice
60882201,H,14.5,154.2513,Liberti-Albert 1er,06088,Nice
60882202,H,10.5,148.32239,Notre-Dame,06088,Nice
60882203,H,23.33,164.31514,Jean Médecin,06088,Nice
60882301,H,7,159.3266,Musiciens,06088,Nice
60882302,H,8.5,154.15259,Rossini,06088,Nice
60882303,H,6,166.26047,Clemenceau,06088,Nice
60882304,H,1.5,159.91765,Thiers-Durante,06088,Nice
60882401,H,5,147.20439,France-Negresco,06088,Nice
60882402,H,10,158.2019,Victor Hugo-Buffa,06088,Nice
60882501,H,4,138.64333,Dante,06088,Nice
60882502,H,8,148.53079,Bottero,06088,Nice
60882503,H,1,170.47343,Potiers,06088,Nice
60882504,H,3.5,158.14317,Châteauneuf,06088,Nice
60882601,H,13.5,162.65097,Lenval,06088,Nice
60882602,H,6,127.81277,Magnan,06088,Nice
60882603,H,0,174.39651,Baumettes,06088,Nice
60882701,H,7.5,160.3439,La Californie,06088,Nice
60882702,H,2,169.97513,Pastorelle-Bosquets,06088,Nice
60882703,H,0,147.76805,Faculté de Lettres,06088,Nice
60882704,H,0,96.322906,Gattamua,06088,Nice
60882705,H,1,118.10129,Abbaye de Roseland,06088,Nice
60882801,H,10,185.53476,Carras,06088,Nice
60882802,H,6,148.1429,Caucade,06088,Nice
60882803,H,2,149.06197,Lanterne-Mandariniers,06088,Nice
60882804,H,2,136.51962,Lanterne,06088,Nice
60882805,H,1,96.706177,Napoléon III,06088,Nice
60882901,H,1.5,161.74466,Les Siagnes,06088,Nice
60882902,H,1,159.272,Les Moulins,06088,Nice
60882903,H,0,161.52255,Digue des Français,06088,Nice
60882904,H,6,157.71211,Paul Montel,06088,Nice
60882905,H,1,159.52072,La Victorine-Grinda,06088,Nice
60882906,H,0,127.20937,Plateaux Fleuris,06088,Nice
60883001,A,2,153.20746,Arenas-Aéroport,06088,Nice
60883002,H,0,164.96593,Arenas-Cassin,06088,Nice
60883003,H,2.5,166.3909,Saint-Augustin,06088,Nice
60883101,H,0,118.66261,Spagnol-Sainte-Marguerite,06088,Nice
60883102,H,4.5799999,173.23283,Parc des Sports,06088,Nice
60883201,H,1,71.903717,Fabron-Terron-Archet,06088,Nice
60883202,H,2,87.436104,Saint-Antoine Ginestière,06088,Nice
60883301,H,5.6599998,67.82399,Lingostière-Saint-Isidore,06088,Nice
60883401,H,0,77.478073,Bellet-Magnan,06088,Nice
60883402,H,1,102.2176,Madeleine-Nicolaï,06088,Nice
60883403,H,4,89.372025,Madeleine Supérieure,06088,Nice
60883501,H,0,60.681484,Crémat-Bellet,06088,Nice
60883601,H,0,66.384544,Saint-Pierre de Féric,06088,Nice
60883602,H,1,86.821335,Costière,06088,Nice
60883701,H,0,72.521919,Saint-Pancrace-Pessicart,06088,Nice
60883801,H,0,84.100975,Gairaut,06088,Nice
60890000,Z,1,83.195534,Opio (commune non irisée),06089,Opio
60900101,H,6,103.538,Nord,06090,Pégomas
60900102,H,6,59.820187,Sud,06090,Pégomas
60910000,Z,1,25.603327,Peille (commune non irisée),06091,Peille
60920000,Z,0,18.927305,Peillon (commune non irisée),06092,Peillon
60930000,Z,0,2.2876289,La Penne (commune non irisée),06093,La Penne
60940000,Z,1,93.271461,Péone (commune non irisée),06094,Péone
60950101,H,0,66.791626,Nord,06095,Peymeinade
60950102,H,6,67.505386,Est,06095,Peymeinade
60950103,H,0,73.435204,Ouest,06095,Peymeinade
60960000,Z,0,2.1630425,Pierlas (commune non irisée),06096,Pierlas
60970000,Z,0,8.2285442,Pierrefeu (commune non irisée),06097,Pierrefeu
60980000,Z,0,10.12732,Puget-Rostang (commune non irisée),06098,Puget-Rostang
60990000,Z,0,28.229023,Puget-Théniers (commune non irisée),06099,Puget-Théniers
61000000,Z,0,14.317287,Revest-les-Roches (commune non irisée),06100,Revest-les-Roches
61010000,Z,0,19.036358,Rigaud (commune non irisée),06101,Rigaud
61020000,Z,0,96.562836,Rimplas (commune non irisée),06102,Rimplas
61030000,Z,4,146.50319,Roquebillière (commune non irisée),06103,Roquebillière
61040101,H,5.3299999,111.16197,Carnoles,06104,Roquebrune-Cap-Martin
61040102,H,3,101.54842,Cap Martin,06104,Roquebrune-Cap-Martin
61040103,H,2,97.412361,Cabbe-Saint-Roman,06104,Roquebrune-Cap-Martin
61040104,H,0,85.557983,Village-Cros de Caste-Coupière-Mont Gros,06104,Roquebrune-Cap-Martin
61040105,H,2,82.714828,Val de Gorbio,06104,Roquebrune-Cap-Martin
61050101,H,2,46.877094,Nord,06105,Roquefort-les-Pins
61050102,H,5.5,91.097839,Sud,06105,Roquefort-les-Pins
61060000,Z,0,1.6556193,Roquestéron (commune non irisée),06106,Roquestéron
61070000,Z,0,3.3087943,La Roque-en-Provence (commune non irisée),06107,La Roque-en-Provence
61080000,Z,3,108.68272,La Roquette-sur-Siagne (commune non irisée),06108,La Roquette-sur-Siagne
61090000,Z,0,24.854486,La Roquette-sur-Var (commune non irisée),06109,La Roquette-sur-Var
61100000,Z,0,3.9356575,Roubion (commune non irisée),06110,Roubion
61110000,Z,0,9.0051041,Roure (commune non irisée),06111,Roure
61120000,Z,6,81.837502,Le Rouret (commune non irisée),06112,Le Rouret
61130000,Z,0,61.811298,Sainte-Agnès (commune non irisée),06113,Sainte-Agnès
