IRIS1,IRIS2,TIME
60040123,60040103,8.166667
60040115,60040103,9.966666
61610105,60040103,19.683332
60690112,60040103,29.95
60290110,60040103,25.45
60883102,60040103,29.2
61520103,60040103,25.316668
60290111,60040103,21.75
60300115,60040103,27.8
60290112,60040103,29.166666
60040114,60040103,8.65
61520104,60040103,29.916666
60790101,60040103,28.916666
61610104,60040103,20.8
60040101,60040103,17.4
61550101,60040103,21.9
60300114,60040103,29.983334
60290113,60040103,29.4
60040121,60040103,11.066667
61550102,60040103,21.05
60270102,60040103,27.166666
60270110,60040103,29.4
60040102,60040103,18.0
60270101,60040103,27.933332
61520101,60040103,28.383333
60040125,60040103,4.5833335
60290109,60040103,26.433332
60290105,60040103,28.333334
60040118,60040103,11.616667
60180102,60040103,24.616667
61230106,60040103,29.833334
60290104,60040103,24.55
61230105,60040103,27.633333
60290132,60040103,29.133333
60290103,60040103,20.4
60290106,60040103,25.6
60180103,60040103,21.4
60290102,60040103,20.166666
61550103,60040103,21.4
61230103,60040103,28.466667
61610107,60040103,24.666666
60040117,60040103,12.45
60290107,60040103,29.116667
61230101,60040103,29.066668
60270117,60040103,26.083334
60290108,60040103,28.85
60270116,60040103,28.116667
60040122,60040103,13.933333
60040116,60040103,14.45
61610106,60040103,19.966667
60300117,60040103,26.216667
