psp_spe_snds,ann,age_ben_snds,nb,total_nb,ratio
7,21,80,532689,11226095,0.04745096135388129
7,21,99,3727,11226095,0.0003319943399730717
7,22,0,958427,11275706,0.08499928962319521
7,22,20,2193741,11275706,0.1945546469551441
7,22,30,2537578,11275706,0.22504825861901684
7,22,40,1680444,11275706,0.14903226458724625
7,22,50,1235582,11275706,0.10957912524501792
7,22,60,1139931,11275706,0.10109619743544218
7,22,70,981338,11275706,0.08703118013186935
7,22,80,545156,11275706,0.04834783737710082
7,22,99,3509,11275706,0.0003112000259673319
7,23,0,948588,11285173,0.08405613276819061
7,23,20,2178070,11285173,0.1930028011090304
7,23,30,2517835,11285173,0.2231100046051576
7,23,40,1697923,11285173,0.15045608959649975
7,23,50,1255514,11285173,0.11125341188832462
7,23,60,1142849,11285173,0.10126995837813031
7,23,70,986827,11285173,0.08744456110686119
7,23,80,554289,11285173,0.04911657092009134
7,23,99,3278,11285173,0.0002904696277141697
7,24,0,471030,5582799,0.08437165658301508
7,24,20,1080578,5582799,0.1935548817000218
7,24,30,1228827,5582799,0.22010948271646535
7,24,40,835458,5582799,0.14964859025015947
7,24,50,619796,5582799,0.11101886347690469
7,24,60,567049,5582799,0.10157073539634867
7,24,70,497760,5582799,0.08915957748075831
7,24,80,280776,5582799,0.050293051926103734
7,24,99,1525,5582799,0.0002731604702229115
8,20,0,340742,6594340,0.05167188831634402
8,20,20,609751,6594340,0.09246581158993925
8,20,30,735617,6594340,0.11155278617723684
8,20,40,842784,6594340,0.12780414719289573
8,20,50,1047963,6594340,0.15891855742955321
8,20,60,1221181,6594340,0.18518623546859883
8,20,70,1117027,6594340,0.16939178143680794
8,20,80,672177,6594340,0.10193241476781603
8,20,99,7098,6594340,0.0010763776208081476
8,21,0,364407,7100486,0.051321416590357334
8,21,20,653782,7100486,0.09207566918658808
8,21,30,782902,7100486,0.1102603399260276
8,21,40,908111,7100486,0.12789420329819678
8,21,50,1122659,7100486,0.15811016316347923
8,21,60,1316941,7100486,0.1854719522015817
8,21,70,1231536,7100486,0.17344390229063195
8,21,80,713009,7100486,0.10041692920738102
8,21,99,7139,7100486,0.0010054241357563413
8,22,0,371389,7249405,0.05123027338105679
8,22,20,660205,7249405,0.09107023266047351
8,22,30,790541,7249405,0.10904908747683431
8,22,40,907493,7249405,0.1251817218102727
8,22,50,1142146,7249405,0.1575503093012461
8,22,60,1355534,7249405,0.1869855526074209
8,22,70,1289124,7249405,0.1778248007939962
8,22,80,727113,7249405,0.10029967976682225
8,22,99,5860,7249405,0.0008083422018772575
8,23,0,363888,7212598,0.050451723498245706
8,23,20,678372,7212598,0.0940537653699818
8,23,30,796078,7212598,0.11037326633204846
8,23,40,904834,7212598,0.12545188294148654
8,23,50,1127789,7212598,0.15636376795157583
8,23,60,1333928,7212598,0.1849441768416873
8,23,70,1286963,7212598,0.178432653532056
8,23,80,715794,7212598,0.09924218707322936
8,23,99,4952,7212598,0.0006865764596890052
8,24,0,188529,3583917,0.052604175822152134
8,24,20,346422,3583917,0.09666016260979259
8,24,30,397116,3583917,0.11080502143325306
8,24,40,445492,3583917,0.12430310188545103
8,24,50,549486,3583917,0.15331995690748418
8,24,60,656995,3583917,0.18331758241053014
8,24,70,639733,3583917,0.17850106461728885
8,24,80,357868,3583917,0.09985387496418026
8,24,99,2276,3583917,0.0006350593498677564
9,20,0,427209,6792855,0.06289093466590999
9,20,20,476598,6792855,0.07016166251156546
9,20,30,666763,6792855,0.09815651887166736
9,20,40,827345,6792855,0.12179635808507616
9,20,50,1052263,6792855,0.1549073254176631
9,20,60,1217810,6792855,0.1792780796881429
9,20,70,1200046,6792855,0.17666297896834246
9,20,80,920912,6792855,0.13557068419685095
9,20,99,3909,6792855,0.0005754575947815757
9,21,0,423938,7021066,0.060380859544690225
9,21,20,478064,7021066,0.06808994531599617
9,21,30,675768,7021066,0.09624863233019032
9,21,40,844722,7021066,0.1203124995549109
9,21,50,1089077,7021066,0.15511561919514785
9,21,60,1269188,7021066,0.18076856135521302
9,21,70,1281775,7021066,0.18256130906617316
9,21,80,954281,7021066,0.13591682516586512
9,21,99,4253,7021066,0.0006057484718132546
9,22,0,420129,7194982,0.0583919459423248
9,22,20,475791,7194982,0.06612817099472938
9,22,30,672623,7194982,0.0934850149729353
9,22,40,849376,7194982,0.11805116399179318
9,22,50,1105240,7194982,0.15361261501418627
9,22,60,1309857,7194982,0.18205146308913628
9,22,70,1360143,7194982,0.18904050072675652
9,22,80,997250,7194982,0.13860354341400716
9,22,99,4573,7194982,0.0006355818541311153
9,23,0,416474,7391411,0.056345669318077427
9,23,20,485765,7391411,0.06572019875501443
9,23,30,686514,7391411,0.09287996567908346
9,23,40,866106,7391411,0.11717735625850058
9,23,50,1133186,7391411,0.15331118780974295
9,23,60,1342418,7391411,0.18161863817341506
9,23,70,1421373,7391411,0.19230063109736423
9,23,80,1035704,7391411,0.1401226369363035
9,23,99,3871,7391411,0.0005237159724983498
9,24,0,203670,3716300,0.05480450986195948
9,24,20,239281,3716300,0.0643868901864758
9,24,30,335766,3716300,0.09034954121034362
9,24,40,428445,3716300,0.1152880553238436
9,24,50,562360,3716300,0.15132255200064582
9,24,60,677696,3716300,0.18235772138955414
9,24,70,730718,3716300,0.19662513790598177
9,24,80,536665,3716300,0.14440841697387186
9,24,99,1699,3716300,0.00045717514732395126
11,20,0,774397,5956496,0.13000881726437824
11,20,20,519084,5956496,0.08714586562301058
11,20,30,606942,5956496,0.10189581257168644
11,20,40,682666,5956496,0.11460865582718431
11,20,50,838833,5956496,0.14082658663751307
11,20,60,975686,5956496,0.16380200708604523
11,20,70,892750,5956496,0.1498783848759405
11,20,80,659752,5956496,0.11076176329170707
11,20,99,6386,5956496,0.0010721068225345908
11,21,0,836888,6547717,0.12781370972508432
11,21,20,568074,6547717,0.08675909481121435
11,21,30,657914,6547717,0.10047990772967128
11,21,40,735979,6547717,0.11240238391488208
11,21,50,899305,6547717,0.13734634529867434
11,21,60,1066101,6547717,0.1628202623906928
11,21,70,1021798,6547717,0.15605408724903658
